# Sample generated by Stan (Variational Bayes)
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=1521864369
# chain_id=1
# iter=10000
# grad_samples=1
# elbo_samples=100
# output_samples=1000
# eval_elbo=100
# eta=1
# tol_rel_obj=0.01
# algorithm=meanfield
# sample_file=s_0.csv
# diagnostic_file=d_0.csv
# append_samples=0
#
# iter,time_in_seconds,ELBO
100,9.14258,9914.38
200,18.3385,26160
300,27.3955,35187.6
400,36.403,41335.1
500,45.3981,45036.6
600,54.7286,47656.4
700,64.9597,49149.6
800,74.2192,50231.6
900,83.1013,50833
1000,92.6158,51273.6
1100,103.682,51521.5
1200,113.943,51678.5
1300,123.762,51850.1
1400,133.605,51931.6
1500,142.606,52026.9
