gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,tic,conm,acctstdq,curcdq,datacqtr,datafqtr,rdq,acchgq,acoq,actq,altoq,ancq,apq,billexceq,ceiexbillq,dlcq,drcq,drltq,dvintfq,finaoq,finreccq,uddq,udmbq,urectq,epspiy,costat,city
001228,20101231,2011,2,6,INDL,C,D,STD,ALAN,ALANCO TECHNOLOGIES INC,DS,USD,2010Q4,2011Q2,20110218,0.0000,0.5310,4.9020,0.0320,13.4900,2.3880,,,4.4430,0.3250,0.3300,,,,,,,-0.4100,A,Scottsdale
001228,20110331,2011,3,6,INDL,C,D,STD,ALAN,ALANCO TECHNOLOGIES INC,DS,USD,2011Q1,2011Q3,20110516,0.0000,18.0950,18.2790,0.0000,0.0000,0.6020,,,4.7580,0.0000,0.0000,,,,,,,-0.5000,A,Scottsdale
001228,20110630,2011,4,6,INDL,C,D,STD,ALAN,ALANCO TECHNOLOGIES INC,DS,USD,2011Q2,2011Q4,20111013,0.0000,0.0390,7.6090,0.0000,0.0070,0.5530,,,0.0280,0.0000,0.0000,,,,,,,-0.0600,A,Scottsdale
001228,20110930,2012,1,6,INDL,C,D,STD,ALAN,ALANCO TECHNOLOGIES INC,DS,USD,2011Q3,2012Q1,20111114,0.0000,0.0510,6.1130,0.0000,0.0060,0.4370,,,0.0280,0.0000,0.0000,,,,,,,-0.0600,A,Scottsdale
001228,20111231,2012,2,6,INDL,C,D,STD,ALAN,ALANCO TECHNOLOGIES INC,DS,USD,2011Q4,2012Q2,20120214,0.0000,0.1070,6.7400,0.0000,0.0060,0.3740,,,0.8280,0.0000,0.0000,,,,,,,-0.0200,A,Scottsdale
001228,20120331,2012,3,6,INDL,C,D,STD,ALAN,ALANCO TECHNOLOGIES INC,DS,USD,2012Q1,2012Q3,20120514,0.0000,0.2010,6.8640,0.0000,0.2310,0.2790,,,0.2280,0.0000,0.0000,,,,,,,-0.0100,A,Scottsdale
001228,20120630,2012,4,6,INDL,C,D,STD,ALAN,ALANCO TECHNOLOGIES INC,DS,USD,2012Q2,2012Q4,20121009,0.0000,0.0970,4.3830,0.0500,3.7250,0.6310,,,0.2280,0.0000,0.0000,,,,,,,-0.0400,A,Scottsdale
001228,20120930,2013,1,6,INDL,C,D,STD,ALAN,ALANCO TECHNOLOGIES INC,DS,USD,2012Q3,2013Q1,20121114,0.0000,0.1020,3.7260,0.0500,4.5080,0.4320,,,0.2280,0.0000,0.0000,,,,,,,0.0200,A,Scottsdale
001228,20121231,2013,2,6,INDL,C,D,STD,ALAN,ALANCO TECHNOLOGIES INC,DS,USD,2012Q4,2013Q2,20130214,0.0000,0.1410,3.2280,0.0500,4.3780,0.2240,,,0.0280,0.0000,0.0000,,,,,,,-0.0200,A,Scottsdale
001228,20130331,2013,3,6,INDL,C,D,STD,ALAN,ALANCO TECHNOLOGIES INC,DS,USD,2013Q1,2013Q3,20130515,0.0000,0.1390,3.4260,0.0750,4.4310,0.2680,,,0.0280,0.0000,0.0000,,,,,,,-0.0500,A,Scottsdale
