CUSIP,ticker,ENV_con_B,ENV_con_X,COM_str_B,COM_con_B,EMP_str_C,EMP_str_D,EMP_con_A,EMP_con_C,DIV_str_E,DIV_str_X,DIV_con_A,PRO_str_A,PRO_con_D,PRO_con_E,CGOV_con_X,COM_str_H,CGOV_con_K,EMP_str_I,EMP_str_J,EMP_str_K,CGOV_str_G,CGOV_str_H,CGOV_con_L,CGOV_con_M,YEAR
20824210,CONN,0,R,R,0,R,R,R,,R,0,0,0,1,0,0,0,0,,,,,,,,2010
21248510,CVG,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,R,0,,,,,,,,2010
20366810,CYH,0,0,0,0,0,0,R,,R,0,0,0,0,0,1,R,0,,,,,,,,2010
17856610,CYN,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
25470910,DFS,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
25666410,DLLR,0,R,R,0,R,R,R,,R,0,0,0,0,1,0,0,0,,,,,,,,2010
29255410,ECPG,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
28140M10,EDMC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
29442910,EFX,0,0,0,0,0,0,R,,R,0,0,0,R,0,0,R,0,,,,,,,,2010
62914B10,EGOV,0,R,R,0,R,R,R,,R,0,0,0,0,0,1,0,0,,,,,,,,2010
26924640,ETFC,0,0,0,0,0,0,R,,R,0,0,0,0,0,1,0,0,,,,,,,,2010
27579R10,EWBC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
30230110,EZPW,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
31847R10,FAF,0,R,R,0,R,R,R,,R,0,0,0,0,0,1,0,0,,,,,,,,2010
33793050,FBC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
31867270,FBP,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
32051710,FHN,0,0,1,0,0,1,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
31620M10,FIS,0,0,0,0,0,0,0,,R,0,0,0,0,0,0,R,0,,,,,,,,2010
31677310,FITB,0,0,0,0,1,0,R,,1,0,0,0,0,0,1,0,0,,,,,,,,2010
30252010,FNB,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
33582V10,FNFG,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
37940X10,GPN,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
44615010,HBAN,0,0,0,0,0,0,R,,0,0,0,0,0,0,1,0,0,,,,,,,,2010
42235N10,HPY,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
45082810,IBKC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
45920010,IBM,0,0,1,1,1,1,0,,1,1,0,0,0,0,1,R,0,,,,,,,,2010
46146P10,ISBC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
46625H10,JPM,0,0,1,1,0,0,R,,1,0,1,0,1,1,1,0,0,,,,,,,,2010
49326710,KEY,0,0,1,0,0,0,R,,1,0,0,0,0,0,1,0,0,,,,,,,,2010
14313010,KMX,0,R,1,0,0,0,R,,0,0,0,1,0,0,0,R,0,,,,,,,,2010
55264U10,MBFI,0,R,R,0,R,R,R,,R,1,0,0,0,0,0,0,0,,,,,,,,2010
60935Y10,MGI,0,R,R,0,R,R,R,,R,0,0,0,0,0,1,0,0,,,,,,,,2010
61744644,MS,0,0,1,0,0,0,0,,1,0,1,0,1,1,1,0,1,,,,,,,,2010
55261F10,MTB,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
63530910,NCMI,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
65373J20,NICK,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
64031N10,NNI,0,R,R,0,R,R,R,,R,0,0,0,1,0,1,0,0,,,,,,,,2010
63764010,NSM,0,R,0,0,0,0,R,,R,0,0,0,0,0,1,0,0,,,,,,,,2010
66585910,NTRS,0,0,1,0,0,1,R,,1,0,0,0,1,0,0,0,0,,,,,,,,2010
62944T10,NVR,0,R,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
67574630,OCN,0,R,R,0,R,R,R,,R,0,0,0,1,0,0,0,0,,,,,,,,2010
68003310,ONB,0,R,R,0,R,R,R,,R,1,0,0,0,0,0,0,0,,,,,,,,2010
71270410,PBCT,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
69332020,PHH,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
69347510,PNC,0,0,1,0,0,0,R,,0,0,0,0,0,0,1,0,0,,,,,,,,2010
73640Q10,PRAA,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
7591EP10,RF,0,0,0,0,0,0,R,,0,0,0,0,0,0,1,0,0,,,,,,,,2010
80851310,SCHW,0,0,0,0,0,0,R,,R,0,0,0,1,0,0,0,0,,,,,,,,2010
78442P10,SLM,0,0,0,0,0,0,R,,R,0,0,0,0,0,1,0,0,,,,,,,,2010
87161C10,SNV,0,0,0,0,0,0,R,,0,0,0,0,1,0,0,0,0,,,,,,,,2010
86791410,STI,0,0,0,0,0,0,R,,1,0,0,0,1,0,1,0,0,,,,,,,,2010
88033G10,THC,0,0,1,0,0,0,0,,R,0,0,1,0,0,1,R,0,,,,,,,,2010
89840210,TRMK,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
90297330,USB,0,0,1,0,0,0,R,,0,0,0,0,0,0,1,0,0,,,,,,,,2010
91979410,VLY,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
93317W10,WAC,0,R,R,0,R,R,R,,R,0,0,0,R,0,0,0,0,,,,,,,,2010
94789010,WBS,0,R,R,0,R,R,R,,R,0,0,0,0,0,1,0,0,,,,,,,,2010
94974610,WFC,0,0,1,0,0,0,R,,1,0,0,0,1,1,1,0,0,,,,,,,,2010
98141910,WRLD,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
95980210,WU,0,0,0,0,0,0,0,,R,0,0,0,0,0,1,R,0,,,,,,,,2010
98970110,ZION,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
18581108,ADS,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,R,0,,,,,,,,2011
00739W10,AEA,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
46265104,AF,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
25932104,AFG,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
18772103,AOI,0,R,R,0,R,R,R,,R,0,0,0,0,0,1,R,0,,,,,,,,2011
46220109,ASFI,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
L0175J10,ASPS,0,R,R,0,R,R,R,,R,0,0,0,R,0,0,R,0,,,,,,,,2011
25816109,AXP,0,0,1,0,0,0,R,,1,0,0,0,0,0,0,0,0,,,,,,,,2011
60505104,BAC,0,0,1,0,0,0,R,,1,1,1,0,1,0,1,0,1,,,,,,,,2011
54937107,BBT,0,0,0,0,0,0,R,,0,0,0,0,0,0,1,0,0,,,,,,,,2011
06652K10,BKU,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
62540109,BOH,0,0,1,0,1,0,R,,0,0,0,0,0,0,0,0,0,,,,,,,,2011
05561Q20,BOKF,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
73317410,BPOP,0,0,0,0,0,0,R,,R,0,0,0,0,1,0,0,0,,,,,,,,2011
17296710,C,0,0,1,0,0,0,R,,1,1,1,0,1,0,1,0,0,,,,,,,,2011
22531010,CACC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
20052510,CBSH,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
14149F10,CFNL,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
16373110,CHFC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
12558180,CIT,0,0,0,0,0,0,R,,0,0,0,0,0,0,0,0,0,,,,,,,,2011
21871D10,CLGX,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,R,0,,,,,,,,2011
20034010,CMA,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
14040H10,COF,0,0,1,0,0,0,R,,0,0,0,0,0,0,0,0,0,,,,,,,,2011
20824210,CONN,0,R,R,0,R,R,R,,R,0,0,0,1,0,0,R,0,,,,,,,,2011
21248510,CVG,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,R,0,,,,,,,,2011
20366810,CYH,0,0,0,0,0,0,R,,R,0,0,0,0,0,1,R,0,,,,,,,,2011
17856610,CYN,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
25470910,DFS,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
25666410,DLLR,0,R,R,0,R,R,R,,R,0,0,0,0,1,0,R,0,,,,,,,,2011
29255410,ECPG,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
28140M10,EDMC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
29442910,EFX,0,0,0,0,0,0,R,,R,0,0,0,R,0,0,R,0,,,,,,,,2011
62914B10,EGOV,0,R,R,0,R,R,R,,R,0,0,0,0,0,1,R,0,,,,,,,,2011
26924640,ETFC,0,0,0,0,0,0,R,,R,0,0,0,0,0,1,0,0,,,,,,,,2011
27579R10,EWBC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
30230110,EZPW,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
31847R10,FAF,0,R,R,0,R,R,R,,R,0,0,0,0,0,1,R,0,,,,,,,,2011
33793050,FBC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
31867270,FBP,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
32051710,FHN,0,0,1,0,0,1,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
31620M10,FIS,0,0,0,0,0,0,0,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
31677310,FITB,0,0,0,0,1,0,R,,1,0,0,0,0,0,0,0,0,,,,,,,,2011
30252010,FNB,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
33582V10,FNFG,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
37940X10,GPN,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
44615010,HBAN,0,0,0,0,0,0,R,,0,0,0,0,0,0,1,0,0,,,,,,,,2011
42235N10,HPY,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
45082810,IBKC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
45920010,IBM,0,0,1,0,1,1,0,,1,1,0,0,0,0,0,R,0,,,,,,,,2011
46146P10,ISBC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
46625H10,JPM,0,0,1,1,0,0,R,,1,0,0,0,1,1,1,0,0,,,,,,,,2011
49326710,KEY,0,0,1,0,0,0,R,,1,0,0,0,0,0,0,0,0,,,,,,,,2011
14313010,KMX,0,R,1,0,0,0,R,,0,0,0,1,0,0,0,R,0,,,,,,,,2011
55264U10,MBFI,0,R,R,0,R,R,R,,R,1,0,0,0,0,0,R,0,,,,,,,,2011
60935Y10,MGI,0,R,R,0,R,R,R,,R,0,0,0,0,0,1,R,0,,,,,,,,2011
61744644,MS,0,0,1,0,0,0,0,,1,0,0,0,0,1,1,0,0,,,,,,,,2011
55261F10,MTB,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
63530910,NCMI,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
65373J20,NICK,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
64031N10,NNI,0,R,R,0,R,R,R,,R,0,0,0,1,0,1,R,0,,,,,,,,2011
66585910,NTRS,0,0,1,0,0,1,R,,1,0,0,0,0,0,0,0,0,,,,,,,,2011
64118V10,NTSP,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
62944T10,NVR,0,R,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
67574630,OCN,0,R,R,0,R,R,R,,R,0,0,0,1,0,0,R,0,,,,,,,,2011
68003310,ONB,0,R,R,0,R,R,R,,R,1,0,0,0,0,0,R,0,,,,,,,,2011
71270410,PBCT,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
69332020,PHH,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
69347510,PNC,0,0,1,0,0,0,R,,0,0,0,0,0,0,1,0,0,,,,,,,,2011
73640Q10,PRAA,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
7591EP10,RF,0,0,0,0,0,0,R,,0,0,0,0,0,0,0,0,0,,,,,,,,2011
80851310,SCHW,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
78442P10,SLM,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
87161C10,SNV,0,0,0,0,0,0,R,,0,0,0,0,1,0,0,0,0,,,,,,,,2011
86791410,STI,0,0,0,0,0,0,R,,1,0,0,0,0,0,0,0,0,,,,,,,,2011
88033G10,THC,0,0,1,0,0,0,0,,R,0,0,1,0,0,1,R,0,,,,,,,,2011
89840210,TRMK,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
90297330,USB,0,0,1,0,0,0,R,,0,0,0,0,0,0,0,0,0,,,,,,,,2011
91979410,VLY,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
93317W10,WAC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
94789010,WBS,0,R,R,0,R,R,R,,R,0,0,0,0,0,1,R,0,,,,,,,,2011
94974610,WFC,0,0,1,1,0,0,R,,1,0,0,0,1,0,1,0,0,,,,,,,,2011
98141910,WRLD,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
95980210,WU,0,0,0,0,0,0,0,,R,0,0,0,0,0,0,R,0,,,,,,,,2011
98970110,ZION,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2011
18581108,ADS,0,0,0,0,0,1,0,,0,,0,R,0,0,0,R,0,1,0,0,R,R,0,0,2012
46265104,AF,0,0,0,0,R,R,0,,0,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
25932104,AFG,0,0,0,0,R,R,0,,0,,0,0,0,0,0,R,0,0,0,0,R,0,0,0,2012
18772103,AOI,0,0,R,0,R,R,0,,R,,0,0,0,0,0,0,0,0,0,0,R,R,0,1,2012
46220109,ASFI,0,0,0,0,R,R,0,,R,,0,0,0,0,0,R,0,R,R,R,R,R,0,0,2012
,ASPS,0,0,R,0,R,R,0,,R,,0,R,0,0,0,R,0,0,0,0,1,R,0,0,2012
25816109,AXP,0,0,1,0,0,0,0,,1,,0,1,0,0,0,R,0,1,1,1,R,R,0,0,2012
60505104,BAC,0,0,1,0,0,0,0,,1,,1,0,1,1,0,R,1,1,1,1,R,0,1,1,2012
54937107,BBT,0,0,1,0,0,0,0,,1,,0,R,0,0,0,R,0,1,0,1,R,R,0,1,2012
06652K10,BKU,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
62540109,BOH,0,0,0,0,R,R,0,,0,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
05561Q20,BOKF,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
73317470,BPOP,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
17296742,C,0,0,1,0,0,1,0,,1,,1,1,1,1,0,R,0,1,1,1,R,0,1,1,2012
22531010,CACC,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,R,0,0,2012
20052510,CBSH,0,0,0,0,R,R,0,,0,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
14149F10,CFNL,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
16373110,CHFC,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,1,0,0,2012
12558180,CIT,0,0,R,0,0,0,0,,R,,0,R,0,0,0,R,0,1,0,1,R,R,0,0,2012
21871D10,CLGX,0,0,0,0,0,0,0,,1,,0,1,0,0,0,R,0,1,0,1,R,R,0,0,2012
20034010,CMA,0,0,1,0,0,0,0,,1,,0,R,0,0,0,R,0,1,1,1,R,R,0,0,2012
14040H10,COF,0,0,0,0,1,0,0,,1,,0,1,1,1,0,R,0,1,0,1,R,R,0,0,2012
20824210,CONN,0,0,R,0,R,R,0,,R,,0,R,0,0,0,R,0,0,0,0,R,R,0,0,2012
21248510,CVG,0,0,1,0,R,R,0,,1,,0,0,0,0,0,R,0,0,0,0,R,R,0,0,2012
20366810,CYH,0,0,0,0,R,R,0,,1,,0,0,0,0,0,R,0,0,0,0,0,R,0,0,2012
17856610,CYN,0,0,1,0,R,R,0,,0,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
25470910,DFS,0,0,0,0,0,0,0,,0,,0,1,0,0,0,R,0,1,0,1,R,R,0,0,2012
23324T10,DLLR,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,R,0,0,2012
29255410,ECPG,0,0,R,0,R,R,0,,R,,0,R,0,0,0,R,0,0,0,0,R,R,0,0,2012
28140M10,EDMC,0,0,0,0,R,R,0,,R,,0,0,0,0,0,R,0,R,R,R,R,R,0,0,2012
29442910,EFX,0,0,0,0,0,0,0,,0,,0,R,0,0,0,R,0,0,0,0,R,R,0,0,2012
62914B10,EGOV,0,0,R,0,R,R,0,,R,,0,0,0,0,0,R,0,0,1,0,R,R,0,1,2012
26924640,ETFC,0,0,0,0,R,R,0,,0,,0,0,1,0,0,R,0,0,0,0,R,0,0,0,2012
27579R10,EWBC,0,0,0,0,R,R,0,,0,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
30230110,EZPW,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,R,0,0,2012
31847R10,FAF,0,0,0,0,R,R,0,,0,,0,0,0,0,0,R,0,0,0,0,R,0,0,0,2012
33793070,FBC,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
31867270,FBP,0,0,0,0,R,R,0,,R,,0,0,0,0,0,R,0,R,R,R,R,R,0,0,2012
32051710,FHN,0,0,0,0,R,R,0,,0,,0,1,0,0,0,R,0,0,0,0,R,0,0,1,2012
31620M10,FIS,0,0,0,0,0,1,0,,0,,0,R,0,0,0,R,0,1,0,0,R,R,0,0,2012
31677310,FITB,0,0,1,0,0,0,0,,1,,0,R,0,1,0,R,0,0,0,0,R,R,0,1,2012
30252010,FNB,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,1,0,R,1,0,0,2012
33582V10,FNFG,0,0,0,0,R,R,0,,0,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
33616C10,FRC,0,0,R,0,0,1,0,,R,,0,0,0,0,0,R,0,1,0,0,R,1,0,0,2012
37940X10,GPN,0,0,0,0,R,R,0,,0,,0,0,0,0,0,R,0,0,0,0,R,R,0,0,2012
44615010,HBAN,0,0,1,0,R,R,0,,1,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
42235N10,HPY,0,0,R,0,R,R,0,,R,,0,0,0,0,0,R,0,0,0,0,R,R,0,0,2012
45082810,IBKC,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,1,0,0,2012
45920010,IBM,0,0,1,0,1,0,0,,1,,0,R,0,0,0,R,0,1,1,1,R,R,0,0,2012
46146P10,ISBC,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
46625H10,JPM,1,0,1,0,1,0,0,,1,,0,0,1,1,0,R,1,1,0,1,R,0,1,1,2012
49326710,KEY,0,0,1,0,0,0,0,,0,,0,R,0,0,0,R,0,1,0,0,R,R,0,0,2012
14313010,KMX,0,0,1,0,0,1,0,,0,,0,R,0,0,0,R,0,0,0,1,R,R,0,0,2012
55264U10,MBFI,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,1,0,0,2012
60935Y20,MGI,0,0,R,0,0,0,0,,R,,0,0,0,0,0,R,0,1,0,0,R,R,0,1,2012
61744644,MS,0,0,1,0,1,0,0,,1,,0,R,1,1,0,R,1,1,1,1,R,R,1,1,2012
55261F10,MTB,0,0,1,0,0,1,0,,0,,0,R,0,0,0,R,0,0,1,1,R,R,0,0,2012
63530910,NCMI,0,0,R,0,R,R,0,,R,,0,0,0,0,0,R,0,0,0,0,R,R,0,0,2012
65373J20,NICK,0,0,0,0,R,R,0,,R,,0,0,0,0,0,R,0,R,R,R,R,R,0,0,2012
64031N10,NNI,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,R,0,1,2012
63861C10,NSM,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
66585910,NTRS,0,0,1,0,1,1,0,,1,,0,1,0,0,0,R,0,1,1,1,R,R,0,0,2012
64118V10,NTSP,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,R,0,0,2012
62944T10,NVR,0,0,0,0,R,R,0,,0,,0,0,0,0,0,R,0,0,0,0,R,R,0,0,2012
67574630,OCN,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
68003310,ONB,0,0,R,0,R,R,0,,R,,0,1,0,0,0,R,0,0,0,0,R,1,0,0,2012
74360610,PB,0,0,0,0,R,R,0,,0,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
71270410,PBCT,0,0,1,0,0,1,0,,0,,0,R,0,0,0,R,0,1,0,1,R,R,0,0,2012
71377E10,PFMT,0,0,R,0,0,0,0,,R,,0,R,0,0,0,0,0,0,0,0,0,R,0,0,2012
69332020,PHH,0,0,R,0,R,R,0,,R,,0,0,0,0,0,R,0,0,0,0,R,R,0,0,2012
69347510,PNC,0,0,1,0,0,1,0,,1,,0,R,0,0,0,R,0,0,1,1,R,R,0,0,2012
73640Q10,PRAA,0,0,R,0,R,R,0,,R,,0,R,0,0,0,R,0,0,0,0,R,R,0,0,2012
7591EP10,RF,0,0,1,0,1,0,0,,1,,0,R,0,0,0,R,0,1,1,1,R,R,0,0,2012
80851310,SCHW,0,0,1,0,0,1,0,,0,,0,R,0,0,0,R,0,1,0,1,R,R,0,0,2012
78442P10,SLM,0,0,1,0,0,1,0,,0,,0,0,0,0,0,R,0,0,0,1,R,R,0,0,2012
87161C10,SNV,0,0,0,0,R,R,0,,0,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
86791410,STI,0,0,0,0,0,0,0,,0,,0,R,0,1,0,R,0,1,0,0,R,R,0,0,2012
88033G40,THC,0,0,0,0,R,R,0,,0,,0,0,0,0,0,R,0,0,0,0,0,R,0,0,2012
89840210,TRMK,0,0,1,0,R,R,0,,0,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
90297330,USB,0,0,1,0,0,0,0,,1,,0,R,0,0,0,R,0,1,0,1,R,R,0,0,2012
91979410,VLY,0,0,0,0,R,R,0,,0,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
93317W10,WAC,0,0,R,0,R,R,0,,R,,0,0,0,0,0,R,0,0,0,0,R,R,0,0,2012
93882410,WAFD,0,0,0,0,R,R,0,,0,,0,1,0,0,0,R,0,0,0,0,R,0,0,0,2012
