CUSIP,ticker,ENV_con_B,ENV_con_X,COM_str_B,COM_con_B,EMP_str_C,EMP_str_D,EMP_con_A,EMP_con_C,DIV_str_E,DIV_str_X,DIV_con_A,PRO_str_A,PRO_con_D,PRO_con_E,CGOV_con_X,COM_str_H,CGOV_con_K,EMP_str_I,EMP_str_J,EMP_str_K,CGOV_str_G,CGOV_str_H,CGOV_con_L,CGOV_con_M,YEAR
52660107,,0,R,0,0,0,0,R,,R,0,0,R,0,0,0,0,0,,,,,,,,2010
82047200,,0,R,0,0,0,0,R,,R,0,0,R,0,0,0,R,0,,,,,,,,2010
58497720,,0,R,0,0,0,0,R,,R,0,0,R,0,0,0,R,0,,,,,,,,2010
18581108,ADS,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,R,0,,,,,,,,2010
00739W10,AEA,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
46265104,AF,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
25932104,AFG,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
18772103,AOI,0,R,R,0,R,R,R,,R,0,0,0,0,0,1,0,0,,,,,,,,2010
46220109,ASFI,0,R,0,0,R,R,R,,R,R,0,R,0,0,0,0,0,,,,,,,,2010
L0175J10,ASPS,0,R,R,0,R,R,R,,R,0,0,0,R,0,0,0,0,,,,,,,,2010
25816109,AXP,0,0,1,0,0,0,R,,1,0,0,0,0,0,1,0,0,,,,,,,,2010
60505104,BAC,0,0,1,0,0,0,R,,1,1,1,0,1,1,1,0,1,,,,,,,,2010
54937107,BBT,0,0,0,0,0,0,R,,0,0,0,0,0,0,1,0,0,,,,,,,,2010
62540109,BOH,0,0,1,0,1,0,R,,0,0,0,0,0,0,0,0,0,,,,,,,,2010
05561Q20,BOKF,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
73317410,BPOP,0,0,0,0,0,0,R,,R,0,0,0,0,1,0,0,0,,,,,,,,2010
17296710,C,0,0,1,0,0,0,R,,1,1,0,0,1,1,1,0,0,,,,,,,,2010
22531010,CACC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
20052510,CBSH,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
14149F10,CFNL,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
16373110,CHFC,0,R,R,0,R,R,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
12558180,CIT,0,0,0,0,0,0,R,,0,0,0,0,0,0,1,0,0,,,,,,,,2010
21871D10,CLGX,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,R,0,,,,,,,,2010
20034010,CMA,0,0,0,0,0,0,R,,R,0,0,0,0,0,0,0,0,,,,,,,,2010
14040H10,COF,0,0,1,0,0,0,R,,0,0,0,0,1,1,0,0,0,,,,,,,,2010
