,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
Alabama,N/A,767,"1,865","2,329","3,397","1,927",894,77,521,"15,755","27,433",399,0,"2,400","1,184",478,"1,277","1,365","1,566",97,"1,435",446,"2,540",193,"7,442","1,174",120,339,539,166,193,773,"2,061","3,974","1,162","1,513",725,593,"2,690",43,"1,968",103,"7,206","6,469",362,173,"4,772",871,445,491,164,51
Alaska,279,N/A,658,73,"3,062","1,815",109,0,0,"1,473","1,044",732,544,819,138,193,434,238,210,17,444,449,955,"1,173",0,905,461,233,"2,129",338,0,766,"1,028","2,078",71,408,780,"1,389",263,0,873,312,133,"2,196",337,53,521,"3,988",0,161,414,34
Arizona,607,"2,519",N/A,553,"54,646","11,039","2,417",927,330,"7,833","3,671","2,069","2,835","11,017","4,087","3,963","2,625","3,599","1,801",780,"2,105","3,030","9,069","8,499",544,"4,069","1,798",986,"7,153",445,"2,782","8,030","5,564","5,323","1,150","5,147","3,906","7,163","3,910",298,842,"1,582","3,253","13,025","10,165",406,"3,801","14,183",0,"5,262","2,473","1,556"
Arkansas,956,205,"1,683",N/A,"5,075","2,429",0,79,196,"2,641","2,407",45,214,"2,999",784,589,"2,036",497,"3,601",0,70,521,"1,922",114,"3,415","6,367","1,058",337,292,0,122,645,395,"2,006",143,777,"7,505",34,358,0,311,146,"6,033","17,708",445,36,"2,355",313,143,"1,312",275,0
California,"5,273","6,022","34,204","2,867",N/A,"21,157","6,205","1,118","3,908","25,638","11,630","10,475","5,840","26,189","8,650","1,394","3,943","3,781","6,324","1,745","9,981","12,628","8,852","4,887","2,539","6,465","2,017","3,282","25,332","1,859","12,890","5,239","36,896","12,463","1,035","12,836","8,350","20,838","13,595","2,179","6,301",610,"8,781","41,713","8,814",766,"15,009","33,131",413,"6,741","1,672","1,110"
Colorado,"2,392","1,653","10,254","1,527","29,029",N/A,"2,253",77,"1,132","12,623","4,644","4,277","1,692","11,398","1,982","2,718","6,294","1,678","3,007",185,"2,286","2,378","3,739","5,443",881,"6,798",910,"4,201","3,723",583,"3,227","6,393","5,748","3,489","1,388","3,263","3,072","4,836","4,870",43,"2,410",732,"2,314","25,268","4,064","1,094","7,686","7,368","1,232","5,916","3,275",126
Connecticut,163,68,187,0,"4,240",467,N/A,344,379,"6,122","1,268",429,51,"1,696",777,362,135,30,139,939,917,"9,498",467,548,84,638,0,0,127,"1,202","3,688",725,"23,820","1,394",95,"1,836",265,290,"2,348","3,035",926,362,237,"2,519",95,262,"2,301","1,236",63,223,0,"3,564"
Delaware,76,344,282,0,725,192,508,N/A,279,883,327,0,0,632,207,124,154,75,0,376,"6,749","1,161",162,81,26,82,0,0,0,47,"4,345",846,"4,759","1,504",423,92,54,90,"13,965",0,659,0,82,"1,423",32,78,"2,112",420,119,0,0,236
District of Columbia ,359,235,367,203,"4,119",433,"1,292",252,N/A,"2,731","1,013",52,5,785,748,135,33,275,392,258,"14,726","2,876","1,308",545,338,141,0,674,68,47,"1,804",40,"5,133","1,501",0,"1,027",150,157,"1,999",234,"1,806",9,873,"1,314",177,117,"8,028",134,478,514,0,18
Florida,"15,449","1,553","7,168","6,850","21,217","9,206","14,887","1,685","1,512",N/A,"38,654","2,978",846,"26,406","13,396","3,142","3,648","10,036","6,560","5,178","16,449","16,651","26,138","5,433","5,415","10,480","1,150","1,706","6,008","5,175","29,390","3,762","69,289","24,003","1,363","27,403","2,710","1,568","28,826","2,523","13,949","1,400","19,864","29,706","1,932","1,480","23,377","3,819","3,479","9,195",924,"28,036"
