,ppid1,ppid2
306,P253113,P264900
307,P253113,P408312
308,P253209,P395905
309,P253313,P235346
310,P253313,P397881
311,P253313,P409230
312,P253313,P410771
313,P253810,P396526
314,P254209,P385345
315,P254713,P122735
316,P254713,P403817
317,P255110,P110010
318,P255506,P377803
319,P255506,P380616
320,P256308,P380544
321,P256308,P380545
322,P256308,P380546
323,P258057,P382516
324,P259605,P126301
325,P259605,P410652
326,P259615,P386033
327,P260311,P385398
328,P260311,P398372
329,P260313,P313039
330,P260921,P385017
331,P260921,P385021
332,P262041,P390664
333,P262109,P382431
334,P262113,P394259
335,P262303,P128706
336,P262303,P54477
337,P262304,P392013
338,P263504,P410548
339,P263504,P418595
340,P264428,P379510
341,P264428,P397397
342,P264900,P1273
343,P264900,P289307
344,P266800,P302940
345,P266811,P406223
346,P266811,P407321
347,P267200,P284716
348,P267200,P418593
349,P267310,P385744
350,P267310,P385745
351,P267814,P173619
352,P267814,P173620
353,P267817,P313009
354,P267817,P313012
355,P268711,P382389
356,P268711,P382391
357,P269120,P380550
358,P269705,P269706
359,P269705,P378716
360,P269706,P269705
361,P269706,P378716
362,P270539,P270580
363,P270539,P382581
364,P270540,P270549
365,P270540,P270551
366,P270541,P270542
367,P270541,P270566
368,P270542,P270541
369,P270543,P270544
370,P270543,P270591
371,P270543,P270607
372,P270544,P270543
373,P270544,P270555
374,P270544,P285605
375,P270545,P270570
376,P270545,P270575
377,P270545,P270576
378,P270548,P270570
379,P270548,P270575
380,P270548,P270576
381,P270549,P270594
382,P270551,P270549
383,P270551,P270594
384,P270555,P270544
385,P270555,P270598
386,P270555,P285605
387,P270562,P270539
388,P270562,P383334
389,P270562,P413402
390,P270567,P270579
391,P270568,P270539
392,P270568,P270577
393,P270568,P382581
394,P270569,P270579
395,P270570,P270548
396,P270570,P270574
397,P270570,P270575
398,P270580,P270539
399,P270580,P270568
400,P270585,P270575
401,P270594,P270549
402,P270594,P270551
403,P270706,P270707
404,P270707,P270706
405,P271538,P380556
406,P271538,P409513
407,P271538,P409516
408,P271903,P126301
409,P271903,P277401
410,P272008,P290636
411,P272008,P392516
412,P272812,P376892
413,P273404,P240604
414,P273404,P61003
415,P273416,P389033
416,P273801,P313009
417,P273801,P313012
418,P276318,P312914
419,P276318,P409800
420,P276319,P312914
421,P276322,P393986
422,P276322,P409012
423,P276329,P409800
424,P276331,P276322
425,P276800,P411039
426,P276800,P411042
427,P277221,P374830
428,P277221,P415988
429,P277222,P309813
430,P277222,P374830
431,P277222,P410548
432,P277401,P126301
433,P277401,P271903
434,P277510,P110012
435,P278001,P278002
436,P278002,P278001
437,P278021,P302942
438,P278807,P276319
439,P278807,P385121
440,P279113,P122735
441,P279113,P387634
442,P279509,P381000
443,P280421,P389120
444,P280421,P408017
445,P280505,P280506
446,P280506,P280505
447,P280513,P378842
448,P280518,P280519
449,P280519,P280518
450,P280552,P280519
451,P280562,P280563
452,P280563,P280562
453,P280566,P280571
454,P280567,P280572
455,P280568,P280573
456,P280571,P280566
457,P280572,P280567
458,P280573,P280568
459,P280717,P286403
460,P280717,P7844
461,P281400,P389033
462,P281411,P401715
463,P281411,P409800
464,P281424,P306829
465,P281835,P281837
466,P282915,P382079
467,P282915,P396249
468,P283330,P386195
469,P283330,P396249
470,P283507,P264900
471,P283507,P283509
472,P283508,P264900
473,P283508,P283509
474,P283509,P1273
475,P283509,P289307
476,P283903,P303109
477,P283903,P307909
478,P283905,P283905
479,P283905,P388405
480,P284106,P291430
481,P284106,P414676
482,P284507,P409800
483,P284507,P414234
484,P284710,P385582
485,P284716,P302916
486,P284716,P418593
487,P284717,P302916
488,P284717,P418593
489,P284718,P302916
490,P284718,P418593
491,P285151,P285152
492,P285152,P285151
493,P285153,P285155
494,P285155,P285153
495,P285163,P229205
496,P285323,P109956
497,P285605,P270544
498,P285605,P270555
499,P285605,P270598
500,P286202,P42083
501,P286205,P382403
502,P286513,P407327
503,P286513,P414678
504,P286608,P397881
505,P286608,P409230
506,P287901,P384585
507,P289307,P392516
508,P289307,P409239
509,P290634,P289307
510,P290634,P408218
511,P290636,P264900
512,P290636,P295206
513,P290902,P381000
514,P290902,P384402
515,P291430,P384677
516,P291430,P414674
517,P291910,P414674
518,P292005,P388616
519,P292006,P292005
520,P292015,P418593
521,P292403,P410005
522,P292412,P313009
523,P292412,P313012
524,P292507,P292508
525,P292508,P292507
526,P293010,P126301
527,P293010,P223705
528,P293302,P128706
529,P293302,P54477
530,P293603,P386048
531,P294005,P313009
532,P294006,P313009
533,P294101,P405207
534,P294713,P375780
535,P294713,P380973
536,P294713,P380974
537,P294810,P270541
538,P294812,P270566
539,P295206,P289307
540,P295206,P290636
541,P296412,P309218
542,P296439,P296440
543,P296440,P296439
544,P296843,P296914
545,P296898,P229205
546,P296917,P155706
547,P296917,P379510
548,P297132,P395361
549,P297134,P406221
550,P297134,P408904
551,P297524,P415772
552,P297547,P405016
553,P297551,P405016
554,P297552,P297553
555,P297553,P297552
556,P300339,P313009
557,P300705,P313009
558,P300705,P313012
559,P301802,P210575
560,P301802,P231040
561,P302633,P290636
562,P302916,P284716
563,P302916,P418593
564,P302918,P302919
565,P302919,P302918
566,P302923,P377873
567,P302924,P410552
568,P302940,P385038
569,P302942,P278021
570,P303302,P409030
571,P303303,P386617
572,P303303,P409800
573,P304704,P387272
574,P304704,P395104
575,P305114,P122735
576,P305114,P122912
577,P305413,P244437
578,P305701,P1273
579,P305701,P231510
580,P306004,P264900
581,P306004,P305701
582,P306816,P163103
583,P306826,P377678
584,P306829,P281424
585,P306857,P180727
586,P306859,P186402
587,P306870,P219907
588,P306876,P224300
589,P307009,P396525
590,P307010,P396522
591,P307909,P405057
592,P308201,P379510
593,P308201,P403944
594,P308201,P417146
595,P309218,P296412
596,P309310,P309308
597,P309513,P382409
598,P309704,P383334
599,P309704,P403974
600,P309706,P403804
601,P309813,P418593
602,P310307,P297134
603,P310307,P406221
604,P310714,P262038
605,P310714,P407321
606,P310717,P310718
607,P310717,P414226
608,P310718,P310717
609,P310718,P414226
610,P310719,P403326
611,P310719,P414226
612,P310720,P379509
613,P310720,P414226
614,P310726,P122748
615,P310726,P409146
616,P311129,P312607
617,P311130,P311132
618,P311132,P311130
619,P311138,P409985
620,P311138,P409986
621,P311601,P313009
622,P311601,P409800
623,P312114,P385754
624,P312910,P414677
625,P312914,P276318
626,P312915,P409800
627,P312916,P409800
628,P313004,P401715
629,P313004,P409800
630,P313006,P389120
631,P313006,P408017
632,P313007,P389120
633,P313007,P408017
634,P313009,P389120
635,P313009,P408017
636,P313012,P389120
637,P313012,P408017
638,P313013,P389120
639,P313013,P408017
640,P313014,P389120
641,P313014,P408017
642,P313016,P389120
643,P313016,P408017
644,P313017,P389120
645,P313017,P408017
646,P313018,P389120
647,P313018,P408017
648,P313020,P389120
649,P313020,P408017
650,P313021,P389120
651,P313021,P408017
652,P313023,P389120
653,P313023,P408017
654,P313025,P389120
655,P313025,P408017
656,P313026,P389120
657,P313026,P408017
658,P313028,P389120
659,P313028,P408017
660,P313029,P389120
661,P313029,P408017
662,P313032,P389120
663,P313032,P408017
664,P313033,P389120
665,P313033,P408017
666,P313034,P389120
667,P313034,P408017
668,P313035,P389120
669,P313035,P408017
670,P313039,P389120
671,P313039,P408017
672,P33801,P376180
673,P33801,P381763
674,P34109,P385592
675,P36740,P380600
676,P370325,P410246
677,P370325,P411049
678,P374207,P385019
679,P374552,P266812
680,P374552,P410003
681,P374580,P122735
682,P374580,P403817
683,P374830,P392854
684,P374830,P410550
685,P374830,P418600
686,P374928,P313009
687,P374928,P313012
688,P374933,P259615
689,P375100,P313020
690,P375100,P384695
691,P375113,P380964
692,P375115,P380983
693,P375117,P375118
694,P375120,P380624
695,P375120,P380625
696,P375120,P380626
697,P375120,P380627
698,P375123,P380628
699,P375123,P380629
700,P375123,P380631
701,P375123,P380966
702,P375125,P375126
703,P375125,P375127
704,P375126,P375125
705,P375126,P375127
706,P375127,P375125
707,P375127,P375126
708,P375131,P375130
709,P375169,P397883
710,P375169,P410771
711,P375170,P129704
712,P375170,P410767
713,P375256,P375257
714,P375257,P375256
715,P375258,P375259
716,P375259,P375258
717,P375289,P396523
718,P375363,P294101
719,P375369,P268212
720,P375384,P376892
721,P375386,P375389
722,P375386,P381128
723,P375389,P375386
724,P375389,P378351
725,P375462,P382419
726,P375666,P244509
727,P375713,P390708
728,P375720,P380971
729,P375720,P380972
730,P375780,P294713
731,P375817,P388507
732,P375817,P388509
733,P375841,P379510
734,P375841,P54509
735,P375909,P270543
736,P375909,P270557
737,P375909,P270594
738,P375910,P270543
739,P375910,P270549
740,P375910,P270557
741,P375982,P409325
742,P375987,P404106
743,P376135,P379510
744,P376135,P54477
745,P376136,P379009
746,P376136,P379510
747,P376180,P33801
748,P376187,P380637
749,P376187,P380638
750,P376187,P380639
751,P376213,P410558
752,P376213,P418593
753,P376285,P376619
754,P376285,P377613
755,P376286,P377612
756,P376286,P406001
757,P376287,P377612
758,P376287,P406217
759,P376430,P376136
760,P376430,P379510
761,P376470,P122735
762,P376470,P403817
763,P376504,P376531
764,P376504,P377714
765,P376523,P393847
766,P376523,P393849
767,P376529,P377714
768,P376531,P393632
769,P376531,P406217
770,P376533,P376617
771,P376533,P377612
772,P376615,P376617
773,P376615,P377714
774,P376617,P376287
775,P376617,P376533
776,P376619,P376285
777,P376619,P406217
778,P377118,P387885
779,P377118,P408661
780,P377122,P389120
781,P377122,P408017
782,P377189,P378100
783,P377218,P122735
784,P377218,P387634
785,P377219,P122735
786,P377219,P403817
787,P377296,P409028
788,P377296,P414677
789,P377347,P405531
790,P377347,P412147
791,P377404,P377405
792,P377405,P377404
793,P377446,P380556
794,P377456,P306816
795,P377464,P380572
796,P377485,P380592
797,P377528,P389120
798,P377528,P408017
799,P377612,P376287
800,P377612,P394579
801,P377613,P377714
802,P377613,P394579
803,P377629,P384065
804,P377630,P381000
805,P377630,P386033
806,P377675,P234438
807,P377676,P38220
808,P377677,P54900
809,P377701,P393802
810,P377706,P410553
811,P377706,P410554
812,P377710,P218202
813,P377714,P392107
814,P377723,P377724
815,P377724,P377723
816,P377749,P264900
817,P377749,P392516
818,P377750,P385531
819,P377753,P260408
820,P377753,P386818
821,P377755,P183916
822,P377755,P405231
823,P377756,P377873
824,P377756,P386046
825,P377757,P377873
826,P377757,P386046
827,P377784,P409030
828,P377784,P409800
829,P377785,P409800
830,P377785,P414234
831,P377803,P255506
832,P377804,P296215
833,P377804,P9864
834,P377821,P396240
835,P377873,P386048
836,P378006,P378007
837,P378007,P378006
838,P378017,P379097
839,P378029,P270575
840,P378034,P403326
841,P378034,P414676
842,P378051,P377817
843,P378102,P376504
844,P378102,P406217
845,P378111,P374933
846,P378111,P386033
847,P378133,P380646
848,P378133,P380647
849,P378133,P380648
850,P378133,P380649
851,P378133,P385778
852,P378145,P270539
853,P378145,P382581
854,P378165,P378174
855,P378166,P378167
856,P378167,P378166
857,P378169,P406254
858,P378176,P378177
859,P378177,P378176
860,P378216,P313009
861,P378216,P313012
862,P378284,P379994
863,P378285,P313009
864,P378285,P384695
865,P378286,P313009
866,P378287,P313013
867,P378304,P378306
868,P378306,P378304
869,P378348,P398379
870,P378351,P375389
871,P378393,P378310
872,P378634,P126301
873,P378634,P309226
874,P378639,P126301
875,P378639,P209117
876,P378685,P407323
877,P378685,P414676
878,P378716,P269705
879,P378716,P269706
880,P378821,P284716
881,P378821,P410556
882,P378821,P418593
883,P378841,P378842
884,P378842,P378841
885,P378852,P297511
886,P378859,P389033
887,P378859,P84818
888,P379009,P376136
889,P379009,P379510
890,P379045,P385582
891,P379097,P382936
892,P379126,P406216
893,P379126,P413261
894,P379128,P382936
895,P379221,P231510
896,P379221,P305701
897,P379320,P414675
898,P379324,P249814
899,P379324,P408604
900,P379413,P384066
901,P379415,P379416
902,P379417,P409044
903,P379422,P394260
904,P379434,P380704
905,P379434,P403806
906,P379449,P228913
907,P379509,P409800
908,P379509,P414675
909,P379510,P375841
910,P379526,P208012
911,P379526,P389122
912,P379527,P208012
913,P379527,P389122
914,P379529,P389120
915,P379529,P408017
916,P379530,P208012
917,P379530,P389122
918,P379534,P208012
919,P379534,P389122
920,P379535,P208012
921,P379535,P389122
922,P379546,P208012
923,P379546,P389122
924,P379556,P377118
925,P379556,P408661
926,P379559,P389120
927,P379559,P408017
928,P379832,P379449
929,P379832,P406235
930,P379987,P289307
931,P379987,P408311
932,P379994,P380023
933,P380537,P296215
934,P380537,P9864
935,P380538,P296215
936,P380538,P9864
937,P380539,P41391
938,P380540,P41391
939,P380541,P41391
940,P380544,P256308
941,P380545,P256308
942,P380546,P256308
943,P380550,P269120
944,P380552,P12430
945,P380554,P12430
946,P380556,P271538
947,P380557,P96611
948,P380558,P96611
949,P380561,P54900
950,P380562,P54900
951,P380564,P54900
952,P380565,P122641
953,P380566,P122641
954,P380567,P163604
955,P380568,P163604
956,P380571,P163604
957,P380572,P191858
958,P380574,P40576
959,P380579,P122345
960,P380580,P122345
961,P380581,P122345
962,P380582,P234438
963,P380584,P234438
964,P380585,P234438
965,P380586,P12564
966,P380588,P6325
967,P380590,P6325
968,P380592,P12420
969,P380593,P44903
970,P380595,P44903
971,P380596,P124904
972,P380597,P124904
973,P380598,P124904
974,P380600,P36740
975,P380603,P195321
976,P380610,P168103
977,P380615,P397836
978,P380615,P416703
979,P380616,P255506
980,P380620,P6430
981,P380621,P6430
982,P380622,P6430
983,P380624,P375120
984,P380625,P375120
985,P380626,P375120
986,P380627,P375120
987,P380628,P375123
988,P380629,P375123
989,P380631,P375123
990,P380637,P376187
991,P380639,P376187
992,P380646,P378133
993,P380647,P378133
994,P380648,P378133
995,P380649,P378133
996,P380650,P38220
997,P380652,P38220
998,P380653,P38220
999,P380673,P380676
1000,P380674,P380675
1001,P380677,P380676
1002,P380690,P219008
1003,P380690,P313009
1004,P380696,P112814
1005,P380697,P296215
1006,P380697,P9864
1007,P380698,P296215
1008,P380698,P9864
1009,P380702,P398803
1010,P380704,P313026
1011,P380704,P379434
1012,P380704,P403806
1013,P380705,P380704
1014,P380705,P403806
1015,P380706,P379417
1016,P380708,P379419
1017,P380709,P379418
1018,P380805,P384780
1019,P380827,P380829
1020,P380829,P380827
1021,P380835,P392437
1022,P380952,P380675
1023,P380953,P380676
1024,P380954,P380676
1025,P380955,P38221
1026,P380956,P38221
1027,P380957,P38221
1028,P380958,P44903
1029,P380959,P179007
1030,P380960,P179007
1031,P380964,P375113
1032,P380966,P375123
1033,P380971,P375720
1034,P380972,P375720
1035,P380973,P294713
1036,P380974,P294713
1037,P380979,P264506
1038,P380983,P375115
1039,P381000,P290902
1040,P381000,P407909
1041,P381033,P384820
1042,P381146,P410220
1043,P381155,P407323
1044,P381155,P409800
1045,P381164,P133401
1046,P381165,P133401
1047,P381169,P263504
1048,P381169,P284716
1049,P381169,P415989
1050,P381170,P313013
1051,P381170,P313042
1052,P381176,P409325
1053,P381195,P398379
1054,P381207,P376892
1055,P381306,P302916
1056,P381306,P418593
1057,P381315,P390664
1058,P381714,P109931
1059,P381714,P386053
1060,P381714,P414034
1061,P381729,P303109
1062,P381729,P405057
1063,P381762,P33801
1064,P381763,P33801
1065,P381793,P392209
1066,P381795,P382092
1067,P381796,P382094
1068,P381797,P382093
1069,P381798,P381793
1070,P381810,P286608
1071,P381810,P397881
1072,P381823,P379449
1073,P381823,P406235
1074,P381916,P122735
1075,P381916,P403817
1076,P381918,P122735
1077,P381918,P403817
1078,P382079,P282915
1079,P382079,P386793
1080,P382092,P392211
1081,P382094,P394943
1082,P382125,P379510
1083,P382125,P54509
1084,P38220,P377676
1085,P38220,P380650
1086,P38220,P380652
1087,P38220,P380653
1088,P38221,P380956
1089,P38221,P380957
1090,P38221,P382517
1092,P382251,P313009
1093,P382282,P376714
1094,P382309,P377724
1095,P382345,P61204
1096,P382354,P382355
1097,P382354,P391765
1098,P382354,P391767
1099,P382355,P382354
1100,P382355,P391765
1101,P382355,P391767
1102,P382356,P383308
1103,P382438,P393966
1104,P382448,P236816
1105,P382448,P386289
1106,P382448,P411036
1107,P382500,P234967
1108,P382502,P126301
1109,P382502,P271903
1110,P382504,P234967
1111,P382504,P393325
1112,P382516,P258057
1113,P382517,P38221
1114,P382537,P382538
1115,P382537,P408017
1116,P382538,P382537
1117,P382538,P408017
1118,P382581,P270539
1119,P382581,P383334
1120,P382601,P374552
1121,P38262,P38264
1122,P38262,P56306
1123,P38264,P38262
1124,P383053,P383054
1125,P383054,P383053
1126,P383103,P313009
1127,P383103,P313012
1128,P383116,P386048
1129,P383116,P386051
1130,P383163,P395101
1131,P383179,P383182
1132,P383179,P384046
1133,P383183,P383182
1134,P383183,P384046
1135,P383308,P382356
1136,P383308,P399754
1137,P383334,P382581
1138,P383334,P403974
1139,P383341,P313009
1140,P38347,P264900
1141,P38347,P290636
1142,P383529,P383530
1143,P383529,P383531
1144,P383530,P383529
1145,P383531,P383529
1146,P383912,P388505
1147,P383912,P400353
1148,P383914,P388503
1149,P383914,P400351
1150,P384059,P384060
1151,P384060,P384059
1152,P384065,P377629
1153,P384065,P392009
1154,P384066,P229406
1155,P384066,P48406
1156,P384099,P284716
1157,P384099,P418593
1158,P384101,P418593
1159,P384114,P379994
1160,P384114,P380023
1161,P384328,P8850
1162,P384346,P290636
1163,P384346,P392516
1164,P384402,P381000
1165,P384402,P384065
1166,P384505,P122735
1167,P384505,P403817
1168,P384533,P384534
1169,P384534,P384533
1170,P384539,P384540
1171,P384539,P394502
1172,P384583,P208012
1173,P384583,P389122
1174,P384585,P208012
1175,P384585,P389122
1176,P384630,P231510
1177,P384630,P377749
1178,P384632,P270566
1179,P384640,P382936
1180,P384640,P399831
1181,P384659,P384660
1182,P384660,P384659
1183,P384677,P291430
1184,P384677,P377296
1185,P384691,P389120
1186,P384691,P408017
1187,P384693,P389120
1188,P384693,P408017
1189,P384695,P208012
1190,P384695,P389122
1191,P384708,P386112
1192,P384708,P386113
1193,P384744,P382379
1194,P384780,P218700
1195,P384780,P380805
1196,P384792,P384842
1197,P384812,P384815
1198,P384812,P384817
1199,P384815,P234100
1200,P384817,P384812
1201,P384817,P384815
1202,P384818,P384819
1203,P384819,P386315
1204,P384842,P384792
1205,P384862,P110010
1206,P384877,P408602
1207,P384877,P409030
1208,P384885,P389120
1209,P384885,P408017
1210,P384889,P389120
1211,P384889,P408017
1212,P384910,P219001
1213,P384917,P379418
1214,P384919,P384921
1215,P384920,P379418
1216,P384921,P384919
1217,P384954,P380049
1218,P384954,P418804
1219,P384963,P193244
1220,P384964,P264900
1221,P384964,P290636
1222,P384967,P384975
1223,P384967,P384977
1224,P384967,P384979
1225,P384975,P384967
1226,P384977,P384967
1227,P384979,P384967
1228,P384996,P126301
1229,P384996,P395524
1230,P385023,P393077
1231,P385038,P302940
1232,P385111,P208012
1233,P385111,P389122
1234,P385113,P385602
1235,P385113,P385691
1236,P385117,P387885
1237,P385117,P393363
1238,P385121,P385121
1239,P385121,P409030
1240,P385261,P396250
1241,P385317,P394941
1242,P385332,P122735
1243,P385332,P399232
1244,P385345,P254209
1245,P385350,P410811
1246,P385354,P410810
1247,P385358,P410810
1248,P385364,P385437
1249,P385364,P389226
1250,P385364,P399811
1251,P385368,P378133
1252,P385398,P313020
1253,P385398,P384695
1254,P385437,P385364
1255,P385453,P385454
1256,P385453,P385455
1257,P385465,P306816
1258,P385477,P395907
1259,P385528,P245205
1260,P385528,P380049
1261,P385559,P380552
1262,P385559,P380554
1263,P385561,P379324
1264,P385561,P407321
1265,P385567,P385691
1266,P385569,P385592
1267,P385586,P270568
1268,P385586,P378145
1269,P385586,P382581
1270,P385587,P270542
1271,P385587,P397613
1272,P385596,P385691
1273,P385598,P385113
1274,P385598,P385691
1275,P385602,P385691
1276,P385604,P385691
1277,P385626,P407323
1278,P385626,P409800
1279,P385651,P38220
1280,P385653,P54900
1281,P385655,P38220
1282,P385669,P235346
1283,P385669,P375169
1284,P385691,P385113
1285,P385691,P385602
1286,P385693,P385592
1287,P385693,P385691
1288,P385695,P395357
1289,P385695,P406045
1290,P385721,P409800
1291,P385721,P414220
1292,P385741,P385742
1293,P385742,P385741
1294,P385743,P388058
1295,P385743,P393074
1296,P385744,P386781
1297,P385744,P410767
1298,P385745,P375170
1299,P385752,P385751
1300,P385762,P385763
1301,P385763,P385762
1302,P386030,P109959
1303,P386033,P378111
1304,P386036,P418593
1305,P386112,P386113
1306,P386113,P386112
1307,P386135,P385169
1308,P386135,P386141
1309,P386141,P385169
1310,P386179,P406221
1311,P386179,P408904
1312,P386194,P282915
1313,P386194,P283330
1314,P386195,P283330
1315,P386195,P400212
1316,P386289,P378386
1317,P386315,P384819
1318,P386335,P313014
1319,P386335,P404833
1320,P386376,P126301
1321,P386376,P209117
1322,P386377,P386378
1323,P386378,P386377
1324,P386380,P382356
1325,P386439,P394605
1326,P386462,P386463
1327,P386463,P386462
1328,P386500,P370325
1329,P386501,P370325
1330,P386502,P370325
1331,P386515,P370325
1332,P386615,P409800
1333,P386615,P414232
1334,P386623,P313020
1335,P386623,P389120
1336,P386631,P313041
1337,P386631,P382933
1338,P386660,P410840
1339,P386664,P386052
1340,P386701,P1272
1341,P386701,P289307
1342,P386781,P385744
1343,P386781,P385745
1344,P386783,P386784
1345,P386793,P283330
1346,P386793,P396249
1347,P386816,P396240
1348,P386845,P296439
1349,P386915,P289307
1350,P386915,P409239
1351,P387034,P379434
1352,P387037,P392349
1353,P387073,P387074
1354,P387074,P387073
1355,P387263,P261211
1356,P387270,P289307
1357,P387270,P386915
1358,P387415,P386910
1359,P387417,P387420
1360,P387418,P387420
1361,P387419,P387420
