,ppid1,ppid2
0,P102503,P102504
1,P102504,P102503
2,P102813,P128706
3,P102813,P54477
4,P104006,P386047
5,P104006,P386333
6,P104914,P381702
7,P104914,P413264
8,P109905,P268212
9,P109908,P110012
10,P109911,P109949
11,P109931,P109959
12,P109935,P109959
13,P109936,P109908
14,P109936,P109929
15,P109936,P110010
16,P110012,P109908
17,P110113,P380579
18,P110113,P380580
19,P110113,P380581
20,P110409,P241301
21,P110409,P384066
22,P111902,P275309
23,P112814,P380696
24,P116609,P116610
25,P122345,P380579
26,P122345,P380580
27,P122345,P380581
28,P122628,P122748
29,P122628,P126301
30,P122641,P380566
31,P122668,P126301
32,P122668,P393325
33,P122670,P122735
34,P122670,P403817
35,P122684,P313020
36,P122684,P384695
37,P122685,P122735
38,P122685,P400708
39,P122690,P122735
40,P122690,P400708
41,P122694,P126301
42,P122694,P403817
43,P122722,P122735
44,P122722,P400708
45,P122735,P126301
46,P122735,P381030
47,P122736,P126301
48,P122736,P411552
49,P122739,P122735
50,P122739,P405130
51,P122740,P122748
52,P122740,P126301
53,P122748,P126301
54,P122748,P310726
55,P122750,P126301
56,P122750,P393634
57,P122751,P122735
58,P122751,P384996
59,P122764,P122735
60,P122764,P410815
61,P122765,P122735
62,P122765,P122912
63,P122767,P122735
64,P122767,P409101
65,P122782,P122735
66,P122782,P405130
67,P122807,P126301
68,P122807,P384996
69,P122834,P122735
70,P122834,P403817
71,P122866,P122735
72,P122866,P122912
73,P122868,P122735
74,P122868,P399232
75,P122912,P122735
76,P122912,P403817
77,P122914,P126301
78,P122914,P403817
79,P124001,P155706
80,P124001,P379510
81,P12420,P380592
82,P12430,P380552
83,P12430,P380554
84,P124716,P211343
85,P124716,P416815
86,P124904,P380596
87,P124904,P380597
88,P124904,P380598
89,P12564,P380586
90,P12630,P12662
91,P12630,P382431
92,P126302,P122764
93,P126302,P122782
94,P12657,P382393
95,P12662,P382378
96,P12790,P386333
97,P128706,P244006
98,P128706,P247905
99,P129610,P397883
100,P129610,P405237
101,P129704,P385744
102,P129704,P410767
103,P129705,P385744
104,P129705,P410765
105,P133173,P264900
106,P133173,P295206
107,P133401,P381164
108,P133401,P381165
109,P133707,P418593
110,P136022,P109908
111,P136022,P110010
112,P136022,P140905
113,P136216,P403628
114,P136216,P403632
115,P136300,P385582
116,P139803,P126301
117,P139803,P403817
118,P140903,P313009
119,P140903,P313012
120,P140906,P109908
121,P140906,P110010
122,P140906,P140905
123,P143329,P126301
124,P143329,P409146
125,P148400,P379510
126,P148400,P54509
127,P151107,P382437
128,P152703,P392850
129,P153000,P313028
130,P155706,P217932
131,P155706,P379510
132,P157011,P49706
133,P158043,P155706
134,P158043,P379510
135,P158702,P158705
136,P158702,P379510
137,P158703,P379510
138,P158703,P54477
139,P158704,P158705
140,P158704,P379510
141,P158705,P158702
142,P158705,P379510
143,P163103,P306816
144,P163604,P380567
145,P163604,P380568
146,P163604,P380571
147,P166111,P240604
148,P166111,P61003
149,P168103,P380610
150,P171917,P193614
151,P171917,P34105
152,P171917,P45606
153,P173620,P398379
154,P173690,P388058
155,P173690,P390724
156,P173690,P393074
157,P174900,P237120
158,P174901,P237120
159,P175208,P396240
160,P177117,P382426
161,P178407,P178408
162,P178407,P178409
163,P178407,P178410
164,P180727,P306857
165,P183301,P382745
166,P183916,P377755
167,P183916,P405231
168,P185818,P379510
169,P185818,P54477
170,P186402,P306859
171,P187415,P313009
172,P187415,P384695
173,P189147,P1273
174,P189147,P290636
175,P190247,P388222
176,P191603,P313009
177,P191603,P313012
178,P191858,P380572
179,P193231,P210575
180,P193231,P231040
181,P194400,P122735
182,P194400,P405130
183,P195321,P380603
184,P196516,P389021
185,P196516,P389023
186,P196516,P389027
187,P196542,P126301
188,P196542,P409146
189,P197107,P389120
190,P197107,P408017
191,P200313,P306826
192,P201441,P126301
193,P201441,P271903
194,P204725,P313039
195,P205020,P237120
196,P205614,P398379
197,P206900,P279510
198,P206900,P403817
199,P208012,P313009
200,P208012,P414674
201,P208603,P392516
202,P208603,P409239
203,P208606,P405202
204,P208606,P59457
205,P209445,P384585
206,P209815,P240604
207,P209815,P61003
208,P210575,P388108
209,P210589,P264900
210,P210589,P290636
211,P211343,P42318
212,P211613,P126301
213,P211613,P411552
214,P211616,P122735
215,P211616,P405130
216,P212928,P396240
217,P214216,P110010
218,P214216,P151915
219,P214216,P277510
220,P217512,P403748
221,P217907,P382442
222,P217909,P217931
223,P217909,P379510
224,P217931,P217932
225,P217931,P379510
226,P217932,P217931
227,P217932,P379510
228,P217935,P379510
229,P217935,P54509
230,P218700,P384780
231,P218700,P404338
232,P218791,P396240
233,P219001,P409523
234,P219008,P308201
235,P219907,P306870
236,P220111,P128706
237,P220111,P310620
238,P223807,P380572
239,P224300,P306876
240,P228100,P313009
241,P228913,P379449
242,P228913,P406235
243,P228914,P228913
244,P229206,P231510
245,P229206,P289307
246,P229400,P379510
247,P229400,P54477
248,P229401,P229400
249,P229401,P379510
250,P229406,P377629
251,P229406,P384066
252,P230701,P398357
253,P231022,P390722
254,P231113,P311138
255,P231113,P409975
256,P231501,P237120
257,P231510,P1273
258,P231510,P264900
259,P231607,P0417
260,P231607,P395163
261,P232903,P393675
262,P232903,P415667
263,P232910,P407401
264,P232910,P407402
265,P234100,P234101
266,P234100,P234102
267,P234438,P377675
268,P234438,P380582
269,P234438,P380584
270,P234438,P380585
271,P234921,P234922
272,P234921,P259801
273,P234921,P259802
274,P234967,P313009
275,P235346,P390722
276,P235346,P405237
277,P236400,P190247
278,P236814,P396240
279,P236816,P254222
280,P236816,P404710
281,P236816,P404712
282,P237500,P382436
283,P238433,P396238
284,P238433,P408966
285,P240604,P396527
286,P241301,P229406
287,P241303,P381000
288,P242137,P242138
289,P243804,P386725
290,P244006,P128706
291,P244006,P247905
292,P244437,P173619
293,P244437,P173620
294,P244509,P244510
295,P244510,P244509
296,P244700,P188308
297,P244700,P259605
298,P244911,P54433
299,P245205,P385528
300,P247355,P377873
301,P247905,P379510
302,P249814,P401715
303,P249814,P409800
304,P252916,P289307
305,P252916,P408219
