ppid,brand,stars,category
P392854,Urban Decay,4.0644,Makeup:Face:Concealer
P416056,Becca,4.3508,Makeup:Face:Setting Spray & Powder
P61009,Bareminerals,4.5992,Makeup:Cheek:Blush
P380952,Laura Mercier,4.4545,Bath & Body:Bath & Shower:Body Wash & Shower Gel
P397340,Benefit Cosmetics,4.209,Makeup:Value & Gift Sets
P378852,Origins,4.2336,Skincare:Moisturizers:Moisturizers
P278807,Sephora Collection,3.7756,Makeup:Eye:Mascara
P304704,Smashbox,4.3721,Makeup:Lip:Lipstick
P383116,Nars,4.1148,Makeup:Eye:Eyeliner
P401403,Alterna Haircare,3.875,Hair:Hair Styling & Treatments:Hair Masks
P377756,Nars,4.1462,Makeup:Face:Setting Spray & Powder
P408602,Sephora Collection,3.7741,Makeup:Eye:Mascara
P397671,Marc Jacobs Beauty,4.0167,Makeup:Face:Face Primer
P376135,Lancôme,4.25,Skincare:Moisturizers:Moisturizers
P397105,Klorane,4.25,Hair:Shampoo & Conditioner:Conditioner
P400610,Caudalie,3.9804,Skincare:Eye Care:Eye Creams & Treatments
P377757,Nars,4.0096,Makeup:Face:Setting Spray & Powder
P311129,Tokyomilk Dark,4.4131,Fragrance:Women:Perfume
P397886,Lavanila,3.4,Skincare:Sun Care:Face Sunscreen
P399736,Ren,3.7018,Skincare:Treatments:Face Serums
P418204,Dior,3.8298,Makeup:Eye:Mascara
P384920,Marc Jacobs Beauty,3.8922,Makeup:Face:Foundation
P377706,Urban Decay,4.2212,Makeup:Cheek:Cheek Palettes
P122834,Clinique,4.0491,Makeup:Eye:Mascara
P311130,Bumble And Bumble,4.0081,Hair:Shampoo & Conditioner:Shampoo
P397109,Klorane,4.25,Hair:Shampoo & Conditioner:Leave-In Conditioner
P395733,Urban Decay,4.267,Makeup:Lip:Lip Liner
P409984,Tarte,4.2267,Skincare:Lip Treatments:Lip Balms & Treatments
P148400,Lancôme,4.31,Skincare:Cleansers:Face Wash & Cleansers
P406818,Smashbox,4.0,Makeup:Eye:Eye Palettes
P396821,Bésame Cosmetics,4.6818,Makeup:Brushes & Applicators:Face Brushes
P405527,Sephora Collection,4.5833,Tools & Brushes:Makeup Brushes & Applicators:Eye Brushes
P412565,Sephora Collection,4.3333,Makeup:Makeup Palettes
P302940,Boscia,4.2875,Skincare:Cleansers:Face Wash & Cleansers
P296412,Omorovicza,3.8044,Skincare:Cleansers:Face Wash & Cleansers
P377753,Dior,4.357,Makeup:Face:BB & CC Cream
P398909,Clinique,0.0,Men:Other Needs:Cleansing Brushes
P404232,Kate Somerville,3.9792,Skincare:Treatments:Face Serums
P390204,Tocca,4.2,Bath & Body:Body Moisturizers:Hand Cream & Foot Cream
P418594,Urban Decay,4.5,Makeup:Accessories:Makeup Removers
P378716,Alterna Haircare,4.2921,Hair:Shampoo & Conditioner:Leave-In Conditioner
P381214,Deborah Lippmann,4.3247,Makeup:Nail:Nail Polish
P234438,Tocca,4.3713,Fragrance:Women:Perfume
P412576,Sephora Collection,4.0,Tools & Brushes:Makeup Brushes & Applicators:Makeup Brush Sets
P6325,Issey Miyake,,
P394945,Hanae Mori,4.2,Fragrance:Women:Rollerballs & Travel Size
P406527,Tom Ford,4.1333,Fragrance:Women:Lotions & Oils
P396523,Bareminerals,4.0,Makeup:Brushes & Applicators:Face Brushes
P61038,Bareminerals,3.6074,Makeup:Brushes & Applicators:Face Brushes
P406534,The Estée Edit,4.2908,Makeup:Face:Face Primer
P122736,Clinique,4.3417,Makeup:Face:Foundation
P291910,Sephora Collection,3.9078,Makeup:Face:Concealer
P379324,Sephora Collection,3.7824,Makeup:Lip:Lip Liner
P394162,Surratt Beauty,3.6,Makeup:Eye:Eye Palettes
P247716,Clinique,4.1508,Skincare:Moisturizers:Moisturizers
P406008,The Estée Edit,3.4808,Makeup:Face:Setting Spray & Powder
P313029,Sephora Collection,4.6591,Makeup:Brushes & Applicators:Eye Brushes
P397106,Klorane,4.2,Hair:Shampoo & Conditioner:Leave-In Conditioner
P398675,Lancôme,5.0,Fragrance:Women:Lotions & Oils
P405105,Milk Makeup,4.1923,Makeup:Cheek:Blush
P410886,Milk Makeup,3.8077,Makeup:Lip:Lipstick
P393631,Deborah Lippmann,4.0,Makeup:Nail:Nail Polish
P399120,Bumble And Bumble,3.7436,Hair:Hair Styling & Treatments:Scalp & Hair Treatments
P415962,Tory Burch,0.0,Fragrance:Women:Bath & Shower
P243804,Buxom,4.4153,Makeup:Lip:Lipstick
P417206,Jo Malone London,0.0,Fragrance:Women:Bath & Shower
P384977,Tory Burch,4.5,Bath & Body:Bath & Shower:Body Wash & Shower Gel
P407719,Cinema Secrets,4.1818,Makeup:Face:Highlighter
P411401,It Cosmetics,3.6194,Skincare:Eye Care:Eye Creams & Treatments
P414900,Maison Margiela,3.4615,Fragrance:Women:Perfume
P376213,Urban Decay,4.5729,Makeup:Eye:Eye Palettes
P416349,Hermès,0.0,Fragrance:Men:Cologne
P385531,Blinc,4.2778,Makeup:Eye:Mascara
P388511,Dior,4.902,Fragrance:Men:Cologne
P386515,Pinch Provisions,3.6,Tools & Brushes:Value & Gift Sets
P382442,Make Up For Ever,4.2857,Makeup:Brushes & Applicators:Eye Brushes
P410662,Wildfox,5.0,Fragrance:Women:Bath & Shower
P411881,Kate Somerville,4.4194,Skincare:Eye Care:Eye Creams & Treatments
P404818,Kevyn Aucoin,4.3333,Makeup:Brushes & Applicators:Face Brushes
P396308,Calvin Klein,5.0,Fragrance:Women:Body Mist & Hair Mist
P410206,Phyto,4.5,Hair:Shampoo & Conditioner:Shampoo
P409142,Devacurl,3.8125,Hair:Shampoo & Conditioner:Conditioner
P411829,Natasha Denona,3.55,Makeup:Face:Foundation
P402538,Chosungah 22,4.4737,Makeup:Face:Foundation
P380579,Narciso Rodriguez,0.0,Fragrance:Women:Bath & Shower
P381165,Dior,5.0,Bath & Body:Body Moisturizers:Body Lotions & Body Oils
P219001,Urban Decay,4.4356,Makeup:Lip:Lip Liner
P397215,Klorane,4.0,Hair:Shampoo & Conditioner:Shampoo
P398947,Marc Jacobs Beauty,4.6613,Makeup:Brushes & Applicators:Face Brushes
P405555,Benefit Cosmetics,4.527,Makeup:Brushes & Applicators:Face Brushes
P380585,Tocca,4.5,Fragrance:Women:Lotions & Oils
P394502,First Aid Beauty,3.8084,Skincare:Moisturizers:Moisturizers
P413459,Kat Von D,4.3957,Makeup:Face:Contour
P218700,Josie Maran,4.5195,Skincare:Moisturizers:Face Oils
P387887,Sephora Collection,3.6552,Makeup:Accessories:Eyelash Curlers
P378634,Clinique,3.7778,Makeup:Face:Foundation
P399993,Verb,4.215,Hair:Shampoo & Conditioner:Conditioner
P384780,Josie Maran,4.0106,Skincare:Treatments:Face Serums
P392235,Tatcha,4.47,Skincare:Cleansers:Face Wash & Cleansers
P378111,Too Faced,3.5754,Makeup:Lip:Lip Plumper
P396285,Michael Kors,5.0,Fragrance:Men:Bath & Shower
P395357,Sephora Collection,4.7619,Hair:Hair Tools:Hair Brushes & Combs
P416410,Clinique,5.0,Makeup:Lip:Lip Balm & Treatment
P417901,Shiseido,3.3333,Makeup:Eye:Mascara
P209815,Bareminerals,3.6967,Makeup:Brushes & Applicators:Face Brushes
P387589,Too Faced,4.1392,Makeup:Face:Face Primer
P392600,Estée Lauder,4.2881,Makeup:Eye:Eye Primer
P126302,Clinique,4.3966,Makeup:Lip:Lipstick
P378821,Urban Decay,4.5062,Makeup:Eye:Eyeshadow
P395409,Clean,1.0,Fragrance:Men:Body Sprays & Deodorant
P48406,Too Faced,4.5231,Makeup:Cheek:Bronzer
P310726,Clinique,4.0609,Makeup:Face:Foundation
P386380,Kate Somerville,4.4167,Skincare:Masks:Face Masks
P390728,Shiseido,3.0,Makeup:Face:Foundation
P244700,Clinique,3.5714,Makeup:Face:Concealer
P387037,Marc Jacobs Beauty,3.642,Makeup:Lip:Lipstick
P401239,St. Tropez Tanning Essentials,1.0,Bath & Body:Self Tanners
P410005,Smashbox,3.4908,Makeup:Face:Concealer
P400506,Sephora Collection,3.7733,Makeup:Eye:Eyeliner
P54417,Lancôme,4.1544,Makeup:Eye:Mascara
P387616,Clinique,4.0347,Skincare:Treatments:Face Serums
P258057,Tocca,4.5139,Fragrance:Women:Perfume
P407066,Dphue,3.6667,Hair:Shampoo & Conditioner:Conditioner
P416360,Benefit Cosmetics,1.6,Makeup:Brushes & Applicators:Sponges & Applicators
P280566,Bumble And Bumble,3.7975,Hair:Shampoo & Conditioner:Shampoo
P65300,Lancôme,4.3793,Makeup:Eye:Mascara
P410238,Donna Karan,4.6,Fragrance:Women:Perfume
P382409,Make Up For Ever,4.4118,Makeup:Brushes & Applicators:Face Brushes
P411611,Becca,4.32,Makeup:Face:Concealer
P313028,Sephora Collection,4.7373,Makeup:Brushes & Applicators:Eye Brushes
P400888,Black Up,4.449,Makeup:Face:Foundation
P297710,Hourglass,4.75,Makeup:Brushes & Applicators:Face Brushes
P379045,Guerlain,4.3659,Makeup:Cheek:Bronzer
P214216,Laura Mercier,4.3975,Makeup:Face:Tinted Moisturizer
P419441,Givenchy,0.0,Makeup:Brushes & Applicators:Sponges & Applicators
P394260,Marc Jacobs Beauty,4.2593,Makeup:Eye:Eyebrow
P400057,Dior,4.7134,Fragrance:Men:Cologne
P378639,Clinique,3.8006,Makeup:Face:BB & CC Cream
P380574,Bvlgari,4.7143,Fragrance:Women:Bath & Shower
P412548,Atelier Cologne,1.0,Fragrance:Women:Bath & Shower
P122912,Clinique,4.358,Makeup:Eye:Mascara
P405581,Rita Hazan,4.1667,Hair:Shampoo & Conditioner:Conditioner
P407042,Madam C.J. Walker Beauty Culture,3.625,Hair:Shampoo & Conditioner:Shampoo
P406215,Cover Fx,3.6678,Makeup:Face:Color Correct
P386816,Dior,3.8036,Makeup:Eye:Mascara
P397517,Too Faced,3.7847,Makeup:Face:Foundation
P396822,Bésame Cosmetics,4.72,Makeup:Brushes & Applicators:Face Brushes
P407317,Sephora Collection,4.4754,Makeup:Makeup Palettes
P285605,Bobbi Brown,3.6955,Makeup:Face:Concealer
P396914,Kate Spade New York,4.6364,Fragrance:Women:Perfume
P417185,Jo Malone London,5.0,Fragrance:Women:Perfume
P417918,Sephora Collection,4.0,Makeup:Brushes & Applicators:Eye Brushes
P386502,Pinch Provisions,4.3,Tools & Brushes:Value & Gift Sets
P122764,Clinique,4.3644,Makeup:Lip:Lip Liner
P407065,Dphue,0.0,Hair:Shampoo & Conditioner:Conditioner
P409317,Smashbox,4.3281,Makeup:Lip:Lipstick
P398357,Tweezerman,4.3973,Makeup:Accessories:Eyelash Curlers
P412568,Sephora Collection,3.875,Makeup:Lip:Lip Sets
P393811,Shiseido,3.6667,Makeup:Face:Concealer
P417222,Jo Malone London,0.0,Fragrance:Candles & Home Scents
P380596,Ralph Lauren,5.0,Fragrance:Men:Body Sprays & Deodorant
P410749,Benefit Cosmetics,4.253,Makeup:Eye:Eyebrow
P398126,Lancôme,4.1333,Skincare:Moisturizers:Moisturizers
P380628,Hermès,4.0,Fragrance:Men:Bath & Shower
P398418,Urban Decay,4.0897,Makeup:Eye:Eyebrow
P388019,Cover Fx,3.6786,Makeup:Face:Face Primer
P393966,Make Up For Ever,3.8415,Makeup:Cheek:Blush
P402539,Chosungah 22,4.0,Makeup:Face:Foundation
P398537,Estée Lauder,4.1,Skincare:Treatments:Face Serums
P270579,Bobbi Brown,3.9286,Makeup:Brushes & Applicators:Eye Brushes
P405521,Sephora Collection,4.5581,Tools & Brushes:Makeup Brushes & Applicators:Face Brushes
P385693,Sephora Collection,3.725,Hair:Hair Tools:Curling Irons
P407043,Madam C.J. Walker Beauty Culture,3.7021,Hair:Shampoo & Conditioner:Conditioner
P415308,Sephora Collection,4.75,Makeup:Brushes & Applicators:Face Brushes
P392501,Living Proof,3.1667,Hair:Shampoo & Conditioner:Conditioner
P388123,Origins,4.4906,Skincare:Masks:Face Masks
P409141,Devacurl,4.1481,Hair:Shampoo & Conditioner:Shampoo
P411919,Christian Louboutin,3.8235,Fragrance:Women:Perfume
P394173,Surratt Beauty,4.1818,Makeup:Eye:Eyeliner
P406012,The Estée Edit,4.1819,Makeup:Face:Highlighter
P384919,Marc Jacobs Beauty,4.1946,Makeup:Face:Concealer
P109927,Laura Mercier,4.4325,Makeup:Eye:Eye Primer
P186402,Dolce&Gabbana,4.7572,Fragrance:Men:Cologne
P387670,Make Up For Ever,4.4681,Makeup:Eye:Eyeshadow
P300339,Smashbox,4.0305,Makeup:Face:BB & CC Cream
P396090,Erborian,4.3559,Skincare:Masks:Face Masks
P201441,Clinique,3.6509,Makeup:Face:Face Primer
P375462,Make Up For Ever,4.4143,Makeup:Eye:Eyebrow
P393953,Kevyn Aucoin,4.0,Makeup:Face:Foundation
P396034,Becca,4.5319,Skincare:Self Tanners:For Face
P412054,Ellis Brooklyn,5.0,Fragrance:Women:Lotions & Oils
P411719,Tom Ford,1.0,Men:Shaving:Aftershave
P417216,Jo Malone London,0.0,Fragrance:Women:Lotions & Oils
P417226,Jo Malone London,0.0,Fragrance:Candles & Home Scents
P381798,Nest,4.619,Fragrance:Women:Rollerballs & Travel Size
P217932,Lancôme,4.4664,Skincare:Cleansers:Face Wash & Cleansers
P395126,Lancôme,4.3333,Skincare:Moisturizers:Moisturizers
P404240,Smashbox,3.7344,Makeup:Face:Color Correct
P158703,Lancôme,4.087,Skincare:Moisturizers:Moisturizers
P409635,Sweat Cosmetics,3.75,Makeup:Face:Foundation
P398419,Urban Decay,4.2935,Makeup:Eye:Eye Palettes
P415406,Sephora Collection,4.1667,Makeup:Eye:Eyeshadow
P417982,Smashbox,4.0,Makeup:Face:Highlighter
P305413,Shiseido,3.8723,Makeup:Eye:Mascara
P384114,Estée Lauder,4.4158,Makeup:Eye:Mascara
P387845,Sephora Collection,4.6275,Tools & Brushes:Makeup Brushes & Applicators:Eye Brushes
P375169,Givenchy,4.1395,Makeup:Face:Face Primer
P398721,Pmd,5.0,Skincare:High Tech Tools:Anti-Aging
P375910,Bobbi Brown,3.9435,Makeup:Face:BB & CC Cream
P411251,Make Up For Ever,3.6,Makeup:Eye:Eyebrow
P392117,Burberry,4.375,Fragrance:Women:Body Mist & Hair Mist
P376737,Viktor & Rolf,4.6854,Fragrance:Men:Cologne
P276800,Guerlain,4.5184,Makeup:Face:Foundation
P313004,Sephora Collection,4.0324,Makeup:Lip:Lipstick
P413462,Tarte,4.5202,Makeup:Makeup Palettes
P382426,Make Up For Ever,4.7292,Makeup:Brushes & Applicators:Face Brushes
P416939,Kat Von D,3.7963,Makeup:Face:Setting Spray & Powder
P393077,Lancôme,4.2358,Skincare:Treatments:Face Serums
P403944,Lancôme,4.3747,Makeup:Face:Foundation
P122748,Clinique,4.3434,Makeup:Face:Foundation
P381146,Sachajuan,5.0,Hair:Shampoo & Conditioner:Shampoo
P396747,Tatcha,4.541,Skincare:Cleansers:Exfoliators
P399010,Burberry,4.0,Makeup:Face:Concealer
P406764,Ren,3.6053,Skincare:Eye Care:Eye Creams & Treatments
P285323,Laura Mercier,4.344,Makeup:Eye:Eyeliner
P395159,Becca,3.9342,Makeup:Face:Highlighter
P379530,Sephora Collection,3.5229,Makeup:Brushes & Applicators:Face Brushes
P409340,Viktor & Rolf,5.0,Fragrance:Women:Bath & Shower
P408413,Alterna Haircare,3.2222,Hair:Hair Styling & Treatments:Hair Styling Products
P404795,Milk Makeup,3.9101,Skincare:Moisturizers:Moisturizers
P410001,Bobbi Brown,3.9714,Makeup:Face:Concealer
P419129,Ilia,0.0,Makeup:Lip:Lip Balm & Treatment
P412583,Sephora Collection,4.7692,Tools & Brushes:Makeup Brushes & Applicators:Face Brushes
P385651,Tocca,5.0,Fragrance:Women:Bath & Shower
P384817,Philosophy,4.2778,Hair:Shampoo & Conditioner:Shampoo
P396646,Kate Spade New York,5.0,Fragrance:Women:Bath & Shower
P419282,Pretty Vulgar,0.0,Makeup:Lip:Lipstick
P12657,Make Up For Ever,4.5525,Makeup:Eye:Eyeshadow
P408972,Rms Beauty,4.3036,Makeup:Face:Concealer
P382538,Sephora Collection,3.5,Makeup:Brushes & Applicators:Face Brushes
P386135,Clean,3.0,Fragrance:Women:Bath & Shower
P416728,Dior,5.0,Skincare:Treatments:Face Serums
P307010,Bareminerals,4.4557,Makeup:Cheek:Blush
P409064,Ciaté London,4.6,Makeup:Eye:Eye Palettes
P385454,Clearogen,4.0476,Skincare:Treatments:Blemish & Acne Treatments
P12790,Nars,4.7051,Makeup:Cheek:Bronzer
P378386,Dior,4.0067,Makeup:Nail:Nail Polish
P122740,Clinique,4.2105,Makeup:Face:Foundation
P393325,Clinique,3.7175,Makeup:Face:Foundation
P405231,Givenchy,4.3913,Makeup:Lip:Lipstick
P407047,Madam C.J. Walker Beauty Culture,4.2791,Hair:Hair Styling & Treatments:Hair Styling Products
P388625,Briogeo,4.291,Hair:Shampoo & Conditioner:Conditioner
P402929,Sephora Collection,3.9333,Tools & Brushes:Makeup Brushes & Applicators:Makeup Brush Sets
P398311,Sephora Collection,4.3684,Tools & Brushes:Accessories:Makeup & Travel Cases
P393662,Becca,4.1983,Makeup:Face:Concealer
P382502,Clinique,2.8161,Makeup:Face:Face Primer
P388697,Christian Louboutin,4.2308,Makeup:Nail:Nail Polish
P404805,Milk Makeup,2.58,Makeup:Lip:Lip Balm & Treatment
P404231,Sephora Collection,4.5285,Tools & Brushes:Makeup Brushes & Applicators:Face Brushes
P410400,Sunday Riley,4.161,Skincare:Moisturizers:Face Oils
P380561,Tocca,3.8571,Fragrance:Women:Bath & Shower
P410888,Lancôme,4.1375,Makeup:Face:Foundation
P404708,Hourglass,4.0,Tools & Brushes:Makeup Brushes & Applicators:Sponges & Applicators
P271903,Clinique,4.2644,Makeup:Face:Foundation
P279113,Clinique,4.3579,Makeup:Lip:Lip Balm & Treatment
P54433,Lancôme,4.6333,Makeup:Lip:Lip Liner
P410220,Sachajuan,4.0,Hair:Shampoo & Conditioner:Conditioner
P415647,Rms Beauty,4.2,Makeup:Lip:Lip Stain
P404269,Sephora Collection,3.2424,Makeup:Brushes & Applicators:Sponges & Applicators
P415989,Urban Decay,3.3654,Makeup:Face:Face Primer
P311132,Bumble And Bumble,3.913,Hair:Shampoo & Conditioner:Conditioner
P385763,Tarte,4.0803,Makeup:Brushes & Applicators:Face Brushes
P407004,Sephora Collection,4.217,Skincare:Eye Care:Eye Masks
P411044,Sweat Cosmetics,5.0,Makeup:Face:Highlighter
P411042,Guerlain,4.8333,Tools & Brushes:Makeup Brushes & Applicators:Face Brushes
P395440,Michael Kors,4.5833,Fragrance:Women:Perfume
P400600,Nars,4.3953,Makeup:Eye:Eyeliner
P377613,Cover Fx,4.1538,Makeup:Face:Face Primer
P407059,Dphue,3.3333,Hair:Shampoo & Conditioner:Shampoo
P409067,Ciaté London,4.2,Makeup:Lip:Lipstick
P409539,Clinique,4.125,Makeup:Eye:Eyeliner
P410556,Urban Decay,4.5556,Makeup:Brushes & Applicators:Face Brushes
P383912,Elizabeth And James,4.3111,Fragrance:Women:Perfume
P404816,Kevyn Aucoin,5.0,Makeup:Brushes & Applicators:Face Brushes
P410501,Too Faced,3.9444,Makeup:Eye:Eyebrow
P388776,Dior,3.9615,Makeup:Face:Foundation
P381762,Philosophy,3.8148,Fragrance:Women:Body Mist & Hair Mist
P380677,Laura Mercier,3.9091,Fragrance:Women:Lotions & Oils
P386793,Supergoop!,4.3604,Skincare:Moisturizers:BB & CC Creams
P403804,Too Faced,4.7485,Makeup:Brushes & Applicators:Face Brushes
P379416,Marc Jacobs Beauty,4.7329,Makeup:Brushes & Applicators:Face Brushes
P414628,Donna Karan,5.0,Fragrance:Women:Lotions & Oils
P396240,Dior,3.6562,Makeup:Eye:Mascara
P396312,Atelier Cologne,0.0,Fragrance:Women:Lotions & Oils
P396413,Sephora Collection,4.3333,Tools & Brushes:Accessories:Makeup & Travel Cases
P395640,Foreo,0.0,Skincare:High Tech Tools:Teeth Whitening
P384640,Becca,3.9317,Makeup:Face:Foundation
P231607,Sephora Collection,3.8345,Skincare:Treatments:Blemish & Acne Treatments
P410551,Urban Decay,4.0645,Makeup:Brushes & Applicators:Face Brushes
P61006,Bareminerals,4.5064,Makeup:Face:Concealer
P405039,Bareminerals,3.6923,Makeup:Eye:Eyeliner
P376430,Lancôme,4.2,Skincare:Moisturizers:Moisturizers
P379546,Sephora Collection,2.6452,Makeup:Brushes & Applicators:Face Brushes
P401167,T3,5.0,Hair:Hair Tools:Curling Irons
P394167,Surratt Beauty,4.037,Makeup:Cheek:Blush
P397119,Klorane,3.5882,Hair:Shampoo & Conditioner:Shampoo
P310717,Sephora Collection,4.5662,Makeup:Cheek:Blush
P380593,Pink Sugar,4.4,Fragrance:Women:Lotions & Oils
P385364,Bareminerals,3.355,Makeup:Face:Foundation
P377677,Tocca,3.7,Bath & Body:Body Moisturizers:Hand Cream & Foot Cream
P102813,Lancôme,3.9668,Makeup:Eye:Mascara
P231022,Givenchy,3.8586,Makeup:Face:Face Primer
P270706,Living Proof,4.1652,Hair:Shampoo & Conditioner:Shampoo
P409146,Clinique,3.4671,Skincare:Moisturizers:Moisturizers
P313012,Sephora Collection,4.757,Makeup:Brushes & Applicators:Face Brushes
P396249,Supergoop!,3.316,Skincare:Sun Care:Face Sunscreen
P413171,Benefit Cosmetics,3.5952,Makeup:Eye:Eye Palettes
P102503,Dermadoctor,4.2283,Skincare:Moisturizers:Moisturizers
P416218,Cover Fx,4.5448,Makeup:Face:Setting Spray & Powder
P174901,Lavanila,4.4836,Fragrance:Women:Perfume
P382581,Bobbi Brown,4.3478,Makeup:Eye:Mascara
P313017,Sephora Collection,4.2512,Makeup:Brushes & Applicators:Face Brushes
P406577,Anastasia Beverly Hills,4.1833,Makeup:Lip:Lip Balm & Treatment
P413181,Tarte,3.2903,Makeup:Eye:False Eyelashes
P385604,Sephora Collection,4.0488,Hair:Hair Tools:Hair Brushes & Combs
P254604,Boscia,4.4684,Skincare:Cleansers:Face Wash & Cleansers
P382251,Ardency Inn,4.2606,Makeup:Face:Foundation
P396910,Kate Spade New York,4.0,Fragrance:Women:Bath & Shower
P408969,Rms Beauty,3.6667,Makeup:Brushes & Applicators:Face Brushes
P404615,Benefit Cosmetics,3.1235,Bath & Body:Body Moisturizers:Body Lotions & Body Oils
P397120,Klorane,3.875,Hair:Hair Tools:Hair Accessories
P386030,Laura Mercier,3.7753,Makeup:Face:Concealer
P377724,Hourglass,4.4375,Makeup:Brushes & Applicators:Face Brushes
P416403,Alterna Haircare,4.0,Hair:Shampoo & Conditioner:Conditioner
P378685,Sephora Collection,4.2455,Makeup:Cheek:Blush
P415402,Sephora Collection,3.7826,Makeup:Eye:Mascara
P384630,Benefit Cosmetics,3.506,Makeup:Face:Foundation
P416775,Guerlain,4.0,Makeup:Eye:Mascara
P404356,Clean,4.5789,Fragrance:Women:Perfume
P271538,Giorgio Armani Beauty,4.6741,Fragrance:Women:Perfume
P401606,Peter Thomas Roth,3.9677,Skincare:Masks:Sheet Masks
P385117,Sephora Collection,4.399,Tools & Brushes:Makeup Brushes & Applicators:Eye Brushes
P397116,Klorane,4.1053,Hair:Shampoo & Conditioner:Shampoo
P306883,Korres,4.2433,Skincare:Masks:Face Masks
P410304,Prada,4.0455,Fragrance:Women:Perfume
P413430,Erno Laszlo,4.5714,Skincare:Cleansers:Face Wash & Cleansers
P41378,Donna Karan,4.5769,Fragrance:Women:Perfume
P418592,Urban Decay,4.1667,Makeup:Accessories:Makeup Removers
P266812,Duo,4.4343,Makeup:Eye:False Eyelashes
P409032,Bareminerals,3.5846,Makeup:Face:Setting Spray & Powder
P412089,Moroccanoil,4.875,Hair:Shampoo & Conditioner:Shampoo
P380706,Marc Jacobs Beauty,4.0139,Makeup:Cheek:Blush
P387825,Beautyblender,3.6008,Makeup:Brushes & Applicators:Sponges & Applicators
P405138,Bareminerals,3.3429,Skincare:Cleansers:Face Wash & Cleansers
