ppid,brand,stars,category
P384585,Sephora Collection,3.2297,Makeup:Brushes & Applicators:Face Brushes
P136022,Laura Mercier,4.1205,Makeup:Face:Foundation
P400253,Fresh,3.25,Skincare:High Tech Tools:Anti-Aging
P383103,Perfekt,4.0185,Makeup:Face:Concealer
P416321,Yves Saint Laurent,5.0,Makeup:Eye:Eyeshadow
P408032,Viseart,4.0758,Makeup:Eye:Eye Palettes
P393509,Sephora Collection,3.5405,Makeup:Accessories:Eyelash Curlers
P415984,Tarte,4.4444,Makeup:Eye:Eyeliner
P392630,Erno Laszlo,5.0,Skincare:Cleansers:Face Wash & Cleansers
P392346,Smashbox,,
P183916,Givenchy,4.4842,Makeup:Lip:Lip Liner
P390106,Sephora Collection,4.5078,Makeup:Face:Setting Spray & Powder
P380564,Tocca,3.8571,Fragrance:Women:Bath & Shower
P410553,Urban Decay,4.8,Makeup:Brushes & Applicators:Face Brushes
P392603,Estée Lauder,3.9299,Makeup:Face:Foundation
P281424,Marc Jacobs Fragrances,4.5657,Fragrance:Women:Perfume
P389021,Mugler,5.0,Fragrance:Women:Lotions & Oils
P409325,Becca,4.931,Makeup:Brushes & Applicators:Face Brushes
P380649,Tom Ford,3.9429,Fragrance:Women:Lotions & Oils
P407181,Madam C.J. Walker Beauty Culture,3.7308,Hair:Hair Styling & Treatments:Hair Styling Products
P407180,Madam C.J. Walker Beauty Culture,3.7579,Hair:Hair Styling & Treatments:Hair Styling Products
P166111,Bareminerals,4.3726,Makeup:Brushes & Applicators:Face Brushes
P124716,Olehenriksen,4.4027,Skincare:Value & Gift Sets
P294713,Clean,4.3813,Fragrance:Women:Perfume
P382432,Make Up For Ever,3.5833,Makeup:Brushes & Applicators:Face Brushes
P377723,Hourglass,4.2612,Makeup:Face:Highlighter
P393401,Giorgio Armani Beauty,4.2168,Makeup:Face:Foundation
P404039,Make Up For Ever,3.6724,Makeup:Eye:Eye Palettes
P412049,Ellis Brooklyn,5.0,Fragrance:Women:Perfume
P414167,Laura Mercier,3.1852,Makeup:Eye:Under-Eye Concealer
P406101,Bvlgari,4.8,Fragrance:Women:Lotions & Oils
P387270,Benefit Cosmetics,3.0,Makeup:Accessories:Makeup Removers
P417343,Natasha Denona,3.0,Makeup:Lip:Lipstick
P234921,Fresh,4.1812,Fragrance:Women:Perfume
P0417,Sephora Collection,,
P408971,Rms Beauty,4.7419,Makeup:Cheek:Bronzer
P405139,Bareminerals,4.0,Skincare:Cleansers:Face Wash & Cleansers
P407323,Sephora Collection,4.2703,Makeup:Face:Setting Spray & Powder
P406080,Sol De Janeiro,4.2683,Bath & Body:Body Moisturizers:Body Lotions & Body Oils
P386660,Make Up For Ever,4.2348,Makeup:Face:Setting Spray & Powder
P406045,Sephora Collection,4.6761,Hair:Hair Tools:Hair Dryers
P379449,Beautyblender,4.7197,Makeup:Brushes & Applicators:Brush Cleaners
P410543,Bareminerals,3.8848,Makeup:Face:Foundation
P415221,Clean,4.8,Fragrance:Women:Perfume
P309513,Make Up For Ever,4.4545,Makeup:Cheek:Blush
P417710,Nest,0.0,Fragrance:Candles & Home Scents
P285152,Alterna Haircare,4.0974,Hair:Shampoo & Conditioner:Shampoo
P384862,Laura Mercier,3.6579,Makeup:Face:Setting Spray & Powder
P394854,Amazing Cosmetics,4.5472,Makeup:Face:Concealer
P405102,Tarte,3.8816,Makeup:Face:Foundation
P415982,Urban Decay,2.7258,Makeup:Face:Face Primer
P382427,Make Up For Ever,4.5455,Makeup:Brushes & Applicators:Face Brushes
P392502,Living Proof,3.3451,Hair:Shampoo & Conditioner:Shampoo
P410236,Sachajuan,0.0,Hair:Hair Styling & Treatments:Scalp & Hair Treatments
P385398,Smashbox,4.501,Makeup:Eye:Eye Primer
P388505,Elizabeth And James,3.4717,Fragrance:Women:Perfume
