Feature,Importance,Feature Index
Previous startups?,0.060639146,1
Consulting before start-up,0.036717237,2
Standardized University,0.231523249,3
Standardized Major,0.198226693,4
Degree Type,0.08750202,5
Standardized Graduate Institution,0.045743308,6
Standardized Graduate Studies,0.018696719,7
Graduate Diploma,0.02853415,8
Ever served as TA/Teacher/Professor/Mentor?,0.030404047,9
Years of Employment,0.184831875,10
Worked as product manager/director/head/VP?,0.046080213,11
Worked at Google?,0.003566448,12
Worked at Microsoft?,0.001898002,13
Worked in Sales?,0.004771301,14
Stanford or Berkeley,0.015411766,15
Ivy League,0.005453827,16
