date,cnt_ipo,amt_ipo,prob_ipo,ind_ipo_f7d,ind_ipo_f15d,ind_ipo_f30d,cnt_ipo_f7d,cnt_ipo_f15d,cnt_ipo_f30d,amt_ipo_f7d,amt_ipo_f15d,amt_ipo_f30d,prob_ipo_f7d,prob_ipo_f15d,prob_ipo_f30d,,
2013/10/31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/11/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/12/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/12/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/12/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/12/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/12/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/12/6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/12/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/12/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013/12/9,0,0,0,0,0,1,0,0,2,0,0,10125,0,0,0.027,,
2013/12/10,0,0,0,0,0,1,0,0,4,0,0,20199,0,0,0.079833333,,
2013/12/11,0,0,0,0,0,1,0,0,7,0,0,26911,0,0,0.134388889,,
2013/12/12,0,0,0,0,0,1,0,0,7,0,0,26911,0,0,0.134388889,,
2013/12/13,0,0,0,0,0,1,0,0,7,0,0,26911,0,0,0.134388889,,
2013/12/14,0,0,0,0,0,1,0,0,13,0,0,46349,0,0,0.189,,
2013/12/15,0,0,0,0,0,1,0,0,13,0,0,46349,0,0,0.189,,
2013/12/16,0,0,0,0,0,1,0,0,20,0,0,64941,0,0,0.248380952,,
2013/12/17,0,0,0,0,0,1,0,0,24,0,0,74079,0,0,0.299630952,,
2013/12/18,0,0,0,0,0,1,0,0,32,0,0,197702,0,0,0.382422619,,
2013/12/19,0,0,0,0,0,1,0,0,32,0,0,197702,0,0,0.382422619,,
2013/12/20,0,0,0,0,0,1,0,0,32,0,0,197702,0,0,0.382422619,,
2013/12/21,0,0,0,0,0,1,0,0,39,0,0,212112,0,0,0.443946429,,
2013/12/22,0,0,0,0,0,1,0,0,43,0,0,219786,0,0,0.505196429,,
2013/12/23,0,0,0,0,0,1,0,0,43,0,0,219786,0,0,0.505196429,,
2013/12/24,0,0,0,0,1,1,0,2,44,0,10125,225453,0,0.054,0.549196429,,
2013/12/25,0,0,0,0,1,1,0,4,45,0,20199,232938,0,0.159666667,0.641529762,,
2013/12/26,0,0,0,0,1,1,0,7,45,0,26911,232938,0,0.268777778,0.641529762,,
2013/12/27,0,0,0,0,1,1,0,7,45,0,26911,232938,0,0.268777778,0.641529762,,
2013/12/28,0,0,0,0,1,1,0,7,45,0,26911,232938,0,0.268777778,0.641529762,,
2013/12/29,0,0,0,0,1,1,0,13,45,0,46349,232938,0,0.378,0.641529762,,
2013/12/30,0,0,0,0,1,1,0,13,45,0,46349,232938,0,0.378,0.641529762,,
2013/12/31,0,0,0,0,1,1,0,20,45,0,64941,232938,0,0.496761905,0.641529762,,
2014/1/1,0,0,0,1,1,1,2,24,45,10125,74079,232938,0.115714286,0.599261905,0.641529762,,
2014/1/2,0,0,0,1,1,1,4,32,45,20199,197702,232938,0.342142857,0.764845238,0.641529762,,
2014/1/3,0,0,0,1,1,1,7,32,45,26911,197702,232938,0.575952381,0.764845238,0.641529762,,
2014/1/4,0,0,0,1,1,1,7,32,45,26911,197702,232938,0.575952381,0.764845238,0.641529762,,
2014/1/5,0,0,0,1,1,1,7,39,45,26911,212112,232938,0.575952381,0.887892857,0.641529762,,
2014/1/6,0,0,0,1,1,1,13,43,45,46349,219786,232938,0.81,1.010392857,0.641529762,,
2014/1/7,0,0,0,1,1,1,13,43,45,46349,219786,232938,0.81,1.010392857,0.641529762,,
2014/1/8,2,10125,0.81,1,1,1,18,42,43,54816,215328,222813,0.94877551,1.044392857,0.614529762,,
2014/1/9,2,10074,1.585,1,1,1,20,41,41,53880,212739,212739,0.941989796,1.123392857,0.561696429,,
2014/1/10,3,6712,1.636666667,1,1,1,25,38,38,170791,206027,206027,1.063001701,1.014281746,0.507140873,,
2014/1/11,0,0,0,1,1,1,25,38,38,170791,206027,206027,1.063001701,1.014281746,0.507140873,,
2014/1/12,0,0,0,1,1,1,25,38,41,170791,206027,213591,1.063001701,1.014281746,0.525918651,,
2014/1/13,6,19438,1.638333333,1,1,1,26,32,35,165763,186589,194153,1.092627551,0.905059524,0.47130754,,
2014/1/14,0,0,0,1,1,1,30,32,35,173437,186589,194153,1.355127551,0.905059524,0.47130754,,
2014/1/15,7,18592,1.781428571,1,1,1,23,25,28,154845,167997,175561,1.100637755,0.786297619,0.411926587,,
2014/1/16,4,9138,1.5375,1,1,1,20,21,24,151374,158859,166423,1.069566327,0.683797619,0.360676587,,
2014/1/17,8,123623,2.48375,1,1,1,13,13,16,35236,35236,42800,1.110459184,0.518214286,0.277884921,,
2014/1/18,0,0,0,1,1,1,13,13,16,35236,35236,42800,1.110459184,0.518214286,0.277884921,,
2014/1/19,0,0,0,1,1,1,13,13,16,35236,35236,42800,1.110459184,0.518214286,0.277884921,,
2014/1/20,7,14410,1.845714286,1,1,1,6,6,9,20826,20826,28390,0.846785714,0.395166667,0.216361111,,
2014/1/21,4,7674,1.8375,1,1,1,2,2,5,13152,13152,20716,0.584285714,0.272666667,0.155111111,,
2014/1/22,0,0,0,1,1,1,2,2,5,13152,13152,20716,0.584285714,0.272666667,0.155111111,,
2014/1/23,1,5667,1.32,1,1,1,1,1,4,7485,7485,15049,0.395714286,0.184666667,0.111111111,,
2014/1/24,1,7485,2.77,0,0,1,0,0,3,0,0,7564,0,0,0.018777778,,
2014/1/25,0,0,0,0,0,1,0,0,3,0,0,7564,0,0,0.018777778,,
2014/1/26,0,0,0,0,0,1,0,0,3,0,0,7564,0,0,0.018777778,,
2014/1/27,0,0,0,0,1,1,0,3,3,0,7564,7564,0,0.037555556,0.018777778,,
