,mean,median,max,min,range,standard_deviation
ID,42.2,32.5,122.0,1.0,121.0,35.42
A.1_9_Launch_Year,2016.81,2017.0,2019.0,2014.0,5.0,1.26
A.1_9_Development-Timelag_YR,1.46,1.0,5.0,0.0,5.0,1.24
A.4_1_1_FTE_2016_Total,11179.09,9.0,180000.0,0.0,180000.0,41846.41
A.4_1_2_FTE_2016_BC-Exclusively,20.72,4.0,350.0,0.0,350.0,56.4
A.4_2_1_FTE_2017_Total,9646.04,10.0,190000.0,1.0,189999.0,38987.55
A.4_2_2_FTE_2017_BC-Exclusively,50.8,7.0,807.0,0.0,807.0,159.59
A.4_3_1_FTE_2018_Total,9077.93,20.0,200000.0,1.0,199999.0,38518.27
A.4_3_2_FTE_2018Q2_BC-Exclusively,122.75,10.0,3010.0,0.0,3010.0,464.76
A.4_2016-Ratio,0.53,0.5,1.0,0.0,1.0,0.4
A.4_2017-Ratio,0.57,0.6,1.0,0.0,1.0,0.39
A.4_2018Q2-Ratio,0.59,0.66,1.0,0.0,1.0,0.37
A.5_1_%_Engineers-Devs,52.89,56.0,100.0,0.0,100.0,24.02
A.5_2_%_Strategists-Consultants,17.49,17.0,60.0,0.0,60.0,13.83
A.5_3_%_Sales,10.02,10.0,50.0,0.0,50.0,9.98
A.5_4_%_Business-Dev,13.87,14.0,40.0,0.0,40.0,10.03
A.5_5_%_Legal,3.21,1.0,24.0,0.0,24.0,4.97
A.5_6_%_Other,4.62,0.0,44.0,0.0,44.0,8.75
D.1_1_1_Software-Downloads_2016,5319.8,0.0,26524.0,0.0,26524.0,11853.55
D.1_1_2_Software-Downloads_2017,9687.0,35.0,55892.0,0.0,55892.0,22651.96
D.1_1_3_Software-Downloads_2018Q2,5571.43,5.0,35139.0,0.0,35139.0,13112.17
D.1_2_1_New-Projects_2016,3.11,1.0,20.0,0.0,20.0,5.71
D.1_2_2_New-Projects_2017,9.5,3.0,62.0,1.0,61.0,15.92
D.1_2_3_New-Projects_2018Q2,11.62,4.0,80.0,1.0,79.0,18.54
D.1_3_1_Know-Projects-Built-On-Top_2016,2.0,1.0,14.0,0.0,14.0,4.53
D.1_3_2_Know-Projects-Built-On-Top_2017,49.55,3.0,400.0,0.0,400.0,121.77
D.1_3_3_Know-Projects-Built-On-Top_2018Q2,126.33,6.0,800.0,0.0,800.0,256.45
D.2_1_Customer_Africa,5.84,0.0,100.0,0.0,100.0,20.74
D.2_2_Customer_APAC,18.58,4.0,100.0,0.0,100.0,29.47
