Date,rx2,rx3,rx4,rx5,f0,f1,f2,f3,f4 
19820730,1.9574,2.8695,3.3658,3.5677,12.547,13.14,13.178,13.187,13.188
19820831,4.122,6.2756,8.1269,9.8593,11.1616,12.3954,12.3473,12.3429,12.3423
19820930,5.4775,8.9055,11.8246,14.5571,10.3938,11.7328,11.7563,11.7563,11.7568
19821029,4.7158,8.0992,11.42,14.7875,9.3025,10.7073,10.8485,10.8509,10.8513
19821130,3.2,5.4275,7.0623,8.4308,9.2379,10.4163,10.9572,11.1558,11.1913
19821231,4.7945,8.259,11.1038,13.7008,8.8379,10.0063,10.6452,10.9282,10.9879
19830131,4.8695,8.3381,11.0161,13.3299,8.913,10.146,10.8696,11.2454,11.3965
19830228,5.1869,8.907,11.7046,14.084,8.6276,9.773,10.3919,10.6711,10.7484
19830331,4.617,8.2625,11.2538,13.8276,9.2239,10.0921,10.5955,10.8505,10.9465
19830429,4.7962,8.4339,11.2746,13.6496,8.729,9.6836,10.2608,10.5726,10.705
19830531,4.1304,7.1118,9.4073,11.3809,9.2382,10.2552,10.8243,11.0935,11.1743
19830630,4.6797,8.1939,10.9202,13.2124,9.5668,10.4558,10.9599,11.2011,11.2739
19830729,2.9356,4.8278,6.2665,7.5286,10.2044,11.2858,11.7483,11.9259,11.9781
19830831,2.0896,2.9857,3.4535,3.7775,10.3058,11.4512,11.8751,12.0183,12.0636
19830930,2.0666,2.9623,3.2924,3.395,9.6662,10.8606,11.4262,11.6542,11.7168
19831031,1.0988,0.9636,0.1759,-0.8896,9.6085,10.9837,11.6386,11.9168,12.0099
19831130,0.7017,0.7157,0.2853,-0.3366,9.7146,10.9432,11.5862,11.8132,11.8403
19831230,0.0542,-0.4489,-1.2307,-2.1804,9.9521,11.1483,11.71,11.9376,12.0025
19840131,0.4431,0.4644,0.1799,-0.2513,9.7029,10.8483,11.5299,11.8277,11.9082
19840229,-0.2972,-1.1819,-2.4091,-3.8244,10.0702,11.2766,11.8983,12.1637,12.2387
19840330,-0.5964,-1.7676,-3.2523,-4.8994,10.6885,11.7667,12.3352,12.5936,12.6705
19840430,-1.1018,-2.8664,-4.9544,-7.188,10.7854,12.0254,12.6606,12.9386,13.0135
19840531,-1.6689,-4.0339,-6.5834,-9.2167,11.9241,13.1893,13.643,13.8076,13.846
19840629,-1.5296,-4.0755,-6.5278,-8.9021,11.9854,13.5058,13.6534,13.6482,13.6417
19840731,-0.3907,-1.2749,-1.9883,-2.6579,11.6765,12.6325,12.6393,12.6477,12.6825
19840831,-0.2251,-0.9225,-1.6082,-2.177,11.6763,12.5725,12.704,12.6324,12.5368
19840928,-0.3373,-1.126,-1.9495,-2.6798,11.1979,12.2149,12.4777,12.4471,12.3279
19841031,0.7088,0.9533,1.1569,1.4186,10.2749,11.3941,11.7132,11.7482,11.7026
19841130,1.4539,2.0286,2.1826,2.1649,9.4893,11.0115,11.6592,11.858,11.8515
19841231,2.034,2.9487,3.3316,3.4736,9.1143,10.7953,11.5547,11.8605,11.9552
19850131,1.8559,2.9226,3.5501,3.9629,8.9924,10.4632,11.2002,11.4954,11.5458
19850228,1.5588,2.3225,2.6236,2.6833,9.7178,11.1346,11.8626,12.179,12.267
19850329,2.2573,3.5691,4.5049,5.2804,9.5094,11.0234,11.6578,11.895,11.9679
19850430,2.9944,5.015,6.5767,7.8929,9.031,10.64,11.3769,11.6973,11.8333
19850531,5.121,9.1671,12.661,15.9071,8.0683,9.5969,10.3137,10.5999,10.6867
19850628,5.6934,9.9488,13.2905,16.1687,7.8124,9.398,10.3065,10.7635,10.9371
19850731,4.4318,7.3916,9.487,11.1544,8.2007,9.6795,10.5523,11.0151,11.2154
19850830,4.6172,7.7411,9.9987,11.8337,7.9553,9.5801,10.3748,10.7018,10.793
19850930,4.2039,7.149,9.309,11.0084,8.011,9.5326,10.2871,10.6285,10.7723
19851031,3.4358,5.9405,7.7802,9.2033,7.9583,9.2085,9.9085,10.2795,10.4697
19851129,3.2201,6.0411,8.4314,10.4394,7.7914,8.8382,9.4677,9.8435,10.0712
19851231,3.1879,6.4774,9.6252,12.5481,7.6074,8.2652,8.7127,9.0323,9.2764
19860131,2.8665,5.7794,8.4937,10.8914,7.5967,8.2873,8.7811,9.1481,9.4298
19860228,3.7013,7.7026,11.8113,15.8964,7.4333,7.8613,8.0703,8.1819,8.2572
19860331,4.1944,8.6628,13.1646,17.6201,6.829,7.1894,7.3932,7.5124,7.5875
19860430,4.0288,8.1539,12.3251,16.5243,6.6112,7.2518,7.5261,7.6341,7.6793
19860530,2.7104,5.0726,7.2995,9.4844,6.8865,7.9515,8.373,8.5018,8.5182
19860630,2.8414,5.8183,8.8938,11.9871,6.5566,7.3296,7.688,7.8438,7.911
19860731,3.3622,6.8806,10.426,13.8847,6.3173,7.0339,7.4697,7.7567,7.9629
19860829,4.011,7.9881,11.7768,15.3085,5.5691,6.3977,6.9131,7.2613,7.5168
19860930,3.616,6.9767,10.0953,12.9949,5.9166,6.9264,7.5099,7.8727,8.1204
19861031,3.4275,6.7072,9.8086,12.7098,5.781,6.6288,7.1781,7.5685,7.8666
19861128,3.0449,6.0601,8.9683,11.719,5.7933,6.4525,6.9353,7.3205,7.6374
19861231,2.1497,4.2553,6.3236,8.3182,6.1155,6.6071,6.964,7.2818,7.5756
19870130,2.3113,4.6176,6.895,9.1115,5.976,6.4748,6.8707,7.2133,7.5112
19870227,1.8319,3.3544,4.6669,5.7807,6.0294,6.5478,6.8694,7.1434,7.4005
