Date,rx2,rx3,rx4,rx5,f0,f1,f2,f3,f4 
19640131,NaN,NaN,NaN,NaN,3.5166,4.0072,4.1648,4.1854,4.1875
19640228,NaN,NaN,NaN,NaN,3.6469,4.1593,4.1677,4.1677,4.1674
19640331,NaN,NaN,NaN,NaN,3.7582,4.2396,4.2413,4.2409,4.2415
19640430,NaN,NaN,NaN,NaN,3.6066,4.1098,4.2476,4.27,4.2725
19640528,NaN,NaN,NaN,NaN,3.6202,4.0626,4.1609,4.1827,4.1876
19640630,NaN,NaN,NaN,NaN,3.5495,4.0011,4.1152,4.1438,4.1514
19640731,NaN,NaN,NaN,NaN,3.506,3.835,4.0563,4.2055,4.3052
19640831,NaN,NaN,NaN,NaN,3.621,3.9054,4.0863,4.2013,4.2745
19640930,NaN,NaN,NaN,NaN,3.6645,3.9815,4.1077,4.1579,4.1779
19641030,NaN,NaN,NaN,NaN,3.6923,3.9703,4.0941,4.1493,4.174
19641130,NaN,NaN,NaN,NaN,3.9341,4.0843,4.1391,4.1449,4.1451
19641231,NaN,NaN,NaN,NaN,3.7492,4.0388,4.1766,4.1914,4.1925
19650129,0.1973,0.438,0.5923,0.6493,3.8099,3.9241,4.0311,4.1305,4.2229
19650226,0.2358,0.3992,0.4872,0.5045,3.9235,4.0043,4.0797,4.1501,4.2159
19650331,0.4017,0.5985,0.6687,0.6885,3.8379,4.0445,4.1707,4.2217,4.2392
19650430,0.2809,0.5044,0.6196,0.7003,3.8289,4.0241,4.1548,4.1918,4.2009
19650528,0.2176,0.3713,0.3873,0.3718,3.845,4.0072,4.1667,4.2031,4.209
19650630,0.2446,0.4169,0.4065,0.3343,3.7565,3.9429,4.1542,4.2236,4.2408
19650730,0.0353,0.0615,0.0731,0.1384,3.7997,4.0301,4.1939,4.2399,4.2499
19650831,-0.0135,-0.0663,-0.1103,-0.0937,3.9189,4.1391,4.2453,4.2579,4.2593
19650930,-0.1719,-0.2622,-0.3499,-0.4674,4.1534,4.198,4.2456,4.2954,4.3471
19651029,-0.1455,-0.2708,-0.5033,-0.7643,4.1158,4.2194,4.3818,4.435,4.4485
19651130,-0.121,-0.3264,-0.6478,-0.9826,4.2053,4.3445,4.4663,4.4799,4.4815
19651231,-0.6915,-1.2836,-1.8624,-2.4399,4.7303,4.7687,4.7702,4.77,4.7698
19660131,-0.7606,-1.5742,-2.2969,-2.9274,4.6847,4.8447,4.8532,4.8534,4.853
19660228,-0.698,-1.6808,-2.6012,-3.456,4.7023,5.0625,5.0705,5.0707,5.0705
19660331,-0.5678,-1.194,-1.7699,-2.3287,4.6123,4.7969,4.7976,4.798,4.7977
19660429,-0.682,-1.3541,-1.9897,-2.616,4.7061,4.8269,4.8274,4.8272,4.8274
19660531,-0.907,-1.6275,-2.311,-2.9884,4.9142,4.8872,4.8866,4.8864,4.8866
19660630,-0.9838,-1.8843,-2.7156,-3.5293,4.9267,5.0547,5.0549,5.0545,5.0547
19660729,-0.9985,-2.0074,-2.9999,-3.9842,5.0286,5.2028,5.2324,5.2342,5.234
19660831,-1.391,-2.7806,-4.1595,-5.5368,5.5301,5.6349,5.6368,5.6366,5.6366
19660930,-1.1134,-2.137,-3.1112,-4.0335,5.3114,5.2692,5.2696,5.2694,5.2699
19661031,-1.0157,-1.7676,-2.466,-3.1509,5.2351,5.1337,5.1334,5.1334,5.1334
19661130,-0.8869,-1.6384,-2.3891,-3.1386,5.2314,5.2178,5.2306,5.231,5.2307
19661230,0.0077,0.0691,0.13,0.1907,4.761,4.7088,4.7091,4.7091,4.709
19670131,0.4458,0.7473,0.9805,1.2083,4.3989,4.5517,4.6202,4.6252,4.6255
19670228,0.5782,0.933,1.2825,1.6318,4.4843,4.7157,4.7212,4.7212,4.7211
19670331,0.8358,1.3831,1.7232,2.0254,3.9611,4.2503,4.4579,4.4955,4.5012
19670428,0.8543,1.2155,1.2557,1.2005,3.9726,4.4662,4.787,4.8826,4.9061
19670531,0.8606,1.1416,1.2145,1.238,4.0266,4.6056,4.8135,4.8631,4.8732
19670630,0.3097,0.107,-0.0969,-0.3008,4.745,5.2576,5.2584,5.2586,5.2584
19670731,0.3557,0.5576,0.7621,0.9662,4.8471,5.0305,5.0297,5.0299,5.0298
19670831,0.6603,1.0069,1.3524,1.6981,4.9746,5.2902,5.2911,5.2909,5.2912
19670929,0.1815,0.1546,0.1272,0.1001,5.0877,5.2965,5.2968,5.297,5.297
19671031,-0.0672,-0.4839,-1.0149,-1.5789,5.2009,5.5501,5.6644,5.6974,5.7067
19671130,-0.1978,-0.4708,-0.9421,-1.4767,5.4156,5.5036,5.7023,5.7653,5.7807
19671229,-0.8184,-1.7507,-2.7822,-3.8396,5.5272,5.6414,5.7406,5.7664,5.7719
19680131,-0.5586,-1.3829,-2.303,-3.2502,5.1103,5.4445,5.5453,5.5727,5.5792
19680229,-0.4934,-1.3525,-2.2189,-3.0852,5.2091,5.5803,5.5876,5.5874,5.5876
19680329,-1.0785,-2.3702,-3.6263,-4.8767,5.3288,5.7496,5.7516,5.7516,5.7519
19680430,-1.0612,-1.9848,-2.987,-3.9969,5.5274,5.7106,5.8848,5.916,5.9202
19680531,-1.1161,-2.0809,-2.9972,-3.9034,5.7217,5.7783,5.7794,5.7794,5.7792
19680628,-0.2657,-0.5248,-0.8274,-1.2182,5.5233,5.5175,5.5612,5.6492,5.7768
19680731,-0.0995,-0.225,-0.4475,-0.8309,5.13,5.1552,5.2524,5.4132,5.6287
19680830,0.3044,0.4453,0.2575,-0.0346,4.9858,5.1502,5.4787,5.5833,5.6095
19680930,0.3425,0.3785,0.1331,-0.1691,4.954,5.2608,5.5424,5.5992,5.6086
19681031,0.3914,0.8421,0.9651,0.9514,5.1587,5.2137,5.5744,5.7204,5.7653
19681129,0.193,0.5501,0.6116,0.6035,5.3106,5.3452,5.7038,5.7888,5.8036
19681231,-0.3282,-0.6912,-1.1246,-1.5557,5.9696,6.1036,6.1998,6.203,6.2035
19690131,-0.4657,-0.979,-1.5257,-2.0683,5.9102,6.0586,6.1194,6.1218,6.122
19690228,-0.7435,-1.4929,-2.1597,-2.7331,6.3238,6.337,6.2542,6.161,6.0845
19690328,-0.3784,-0.693,-1.0472,-1.4761,6.128,6.0662,6.1058,6.1808,6.2602
19690430,-0.2917,-0.5688,-0.815,-1.0572,6.0023,6.1619,6.1622,6.1624,6.1622
19690529,-0.7417,-1.5305,-2.1395,-2.7221,6.52,6.5682,6.3884,6.3618,6.3591
19690630,-1.8826,-3.2815,-4.1113,-4.7157,7.4001,6.9601,6.479,6.3812,6.3656
19690731,-2.269,-4.3014,-5.52,-6.1117,7.4242,7.2848,6.6318,6.2204,6.0213
19690829,-2.3225,-4.0439,-5.2423,-6.1775,7.4727,7.2001,6.7817,6.5447,6.4368
19690930,-2.5575,-4.9584,-7.1434,-9.0846,7.8183,7.9433,7.7842,7.5498,7.3259
19691031,-2.1921,-3.8553,-5.1833,-6.2602,7.4058,7.2376,7.0484,6.8422,6.6235
19691128,-2.4952,-4.0772,-5.367,-6.5646,7.8404,7.2858,7.0786,7.0012,6.9725
19691231,-2.1,-3.9254,-5.5203,-6.8505,8.2036,8.0252,7.7979,7.5337,7.2421
19700130,-1.9708,-3.8962,-5.7752,-7.5606,8.0294,8.0448,8.0008,7.9074,7.7731
19700227,-0.5463,-1.55,-2.7227,-3.8617,6.8833,7.2579,7.3337,7.2235,7.0036
19700331,-0.6647,-1.6784,-2.7285,-3.6726,6.7309,7.1195,7.2309,7.2043,7.1179
19700430,-1.3041,-3.0533,-4.8154,-6.4981,7.466,7.9114,7.9245,7.8449,7.7697
19700529,-0.9428,-2.499,-3.8896,-5.0753,7.511,7.9446,7.7524,7.5448,7.4152
19700630,-0.2491,-1.6273,-3.0574,-4.3645,7.2092,7.8572,7.8113,7.6727,7.5691
19700731,0.3673,-0.6428,-2.0795,-3.6033,6.9175,7.6419,7.6571,7.5451,7.4509
19700831,0.4345,-0.2046,-1.2157,-2.3179,6.7656,7.4208,7.5558,7.539,7.4928
19700930,1.463,2.2373,2.5572,2.5616,6.4803,7.0099,7.2299,7.3215,7.3594
19701030,0.9705,0.9642,0.6937,0.2005,6.2671,7.0547,7.1127,7.1167,7.1173
19701130,2.244,3.579,4.3568,4.7785,5.0418,5.7436,6.2234,6.5508,6.7744
19701231,3.0268,4.8409,6.0861,6.9453,4.9984,5.9838,6.2885,6.3829,6.4119
19710129,3.8642,6.5042,8.2345,9.3649,4.1806,5.3608,6.1771,6.6427,6.8848
19710226,3.6053,5.9914,7.35,7.9783,3.6526,4.9476,5.8649,6.3753,6.6301
19710331,3.3516,5.9042,7.8027,9.1818,3.7679,4.6783,5.3058,5.7388,6.0372
19710430,3.1946,5.1717,6.6483,7.9061,4.7168,5.9474,6.3683,6.5119,6.5611
19710528,2.9627,4.7086,5.7962,6.5554,4.9819,6.0065,6.4572,6.656,6.7434
19710630,1.8216,2.7221,3.4329,4.0371,6.0356,6.9108,6.9619,6.9649,6.9648
19710730,1.571,2.321,2.7909,3.1326,6.0709,6.9071,7.0752,7.1092,7.1156
19710831,2.271,3.9152,5.2461,6.4156,5.1498,5.9116,6.2081,6.3233,6.3682
19710930,1.8496,3.2184,4.4157,5.5519,5.1603,5.8611,6.1242,6.2232,6.2597
19711029,2.5305,4.2008,5.337,6.291,4.5242,5.4424,5.9805,6.1633,6.2156
19711130,1.0897,1.8438,2.4234,2.969,4.6539,5.4693,5.9712,6.2288,6.3503
19711231,1.6296,2.6899,3.3291,3.6935,4.3542,5.2282,5.7437,6.0475,6.2264
19720131,1.1178,1.6985,2.1873,2.6886,4.243,5.5964,6.1539,6.3835,6.4782
19720229,0.744,1.1173,1.4132,1.6955,4.2036,5.4916,6.0794,6.3478,6.4701
19720330,-0.3425,-1.1589,-1.7215,-2.0151,5.0208,6.1222,6.3014,6.3308,6.3353
19720428,1.4015,1.9625,2.2493,2.4467,4.5459,5.8073,6.2251,6.3637,6.4095
19720531,1.4375,2.3423,2.9587,3.4207,4.569,5.5524,6.0396,6.2814,6.4011
19720630,1.8339,2.8549,3.6272,4.326,5.0769,5.9409,6.1926,6.266,6.2876
19720731,2.1298,3.1845,4.0206,4.8119,4.7773,6.0205,6.2731,6.3243,6.3343
19720831,0.5853,0.6723,0.5996,0.4768,5.3263,6.1211,6.396,6.491,6.5241
19720929,0.4173,0.3463,0.165,-0.0386,5.4438,6.1952,6.4045,6.4633,6.4792
19721031,-0.0013,-0.2609,-0.4738,-0.6574,5.4437,6.2401,6.3762,6.3992,6.4033
19721130,0.147,0.0475,-0.0064,0.0012,5.3223,6.0707,6.2827,6.3427,6.3596
19721229,-0.4288,-0.8689,-1.1447,-1.2786,5.657,6.1838,6.3233,6.3603,6.3696
19730131,-0.5415,-0.8077,-0.8538,-0.7964,6.1379,6.4201,6.4296,6.4208,6.4166
19730228,-0.9429,-1.623,-1.9919,-2.1271,6.4345,6.7595,6.7167,6.6053,6.511
19730330,-0.8683,-1.3122,-1.5481,-1.7275,6.9905,6.7453,6.5667,6.5147,6.5023
19730430,-0.9241,-1.3714,-1.5848,-1.7348,6.7314,6.6724,6.5771,6.5595,6.5566
19730531,-1.4818,-2.048,-2.3511,-2.5347,7.0342,6.6058,6.5845,6.5847,6.5843
19730629,-1.6478,-2.0627,-2.3587,-2.6329,7.5887,6.6075,6.562,6.5618,6.5615
19730731,-2.6741,-3.8392,-4.6585,-5.4478,8.6946,7.4382,7.1436,7.1236,7.1225
19730831,-2.1733,-2.7245,-2.8481,-2.9478,8.2944,6.9472,6.6146,6.6238,6.7185
19730928,-1.0759,-1.1355,-0.947,-0.8182,7.2711,6.4641,6.2748,6.3504,6.5176
19731031,-0.7626,-0.8857,-1.0422,-1.2336,7.0027,6.4993,6.5557,6.5947,6.6076
19731130,-1.1115,-1.2716,-1.3712,-1.4543,7.1822,6.4428,6.4423,6.4427,6.4425
19731231,-1.0186,-1.0699,-1.1672,-1.4158,7.2024,6.3746,6.4576,6.6182,6.7207
19740131,-0.5725,-0.6197,-0.8868,-1.3437,6.9926,6.4768,6.6879,6.8735,6.9697
19740228,-0.2286,-0.1538,-0.3944,-0.7771,6.9881,6.6419,6.8459,6.8937,6.9009
19740329,-1.412,-2.1432,-2.8767,-3.6198,8.1573,7.2979,7.2482,7.2454,7.2447
19740430,-2.1084,-3.3781,-4.4316,-5.4296,8.7808,7.8468,7.613,7.5546,7.5398
19740531,-1.8482,-2.9555,-3.931,-4.8839,8.454,7.6918,7.5602,7.5372,7.5333
19740628,-1.9384,-3.4341,-4.6671,-5.7592,8.5459,8.0577,7.7948,7.6536,7.5775
19740731,-1.2091,-2.4684,-3.5156,-4.3437,8.6473,8.4029,8.1708,7.9506,7.7409
19740830,-2.4939,-4.0226,-5.3108,-6.4891,9.4411,8.1433,7.912,7.8968,7.8963
19740930,-1.6023,-3.2037,-4.6374,-5.8963,8.0664,7.8762,7.7841,7.7765,7.7763
19741031,-1.258,-2.4874,-3.663,-4.7735,7.7573,7.7851,7.7703,7.7181,7.6347
19741129,-0.9679,-1.9173,-2.8461,-3.7529,7.4107,7.3917,7.3715,7.3493,7.3268
19741231,-0.7701,-1.4754,-2.0209,-2.4637,7.1447,7.1629,7.1637,7.1635,7.1637
19750131,0.2379,-0.1753,-0.6942,-1.1577,6.2389,7.1011,7.3924,7.4332,7.4379
19750228,0.7251,0.9302,0.598,0.08,5.9168,6.6408,7.2259,7.4189,7.4701
19750331,1.0562,1.0319,0.7021,0.3298,6.2417,7.2725,7.5752,7.617,7.6221
19750430,1.0555,0.6358,0.0857,-0.4806,6.7913,8.0327,8.1047,8.1061,8.1062
19750530,1.5856,1.6898,1.3911,1.0141,6.1062,7.456,7.8359,7.9103,7.9236
19750630,1.2969,1.5827,1.4699,1.226,6.7608,7.509,7.7664,7.8214,7.8034
19750731,1.2206,1.4309,1.3589,1.1856,7.1823,7.9605,8.0226,7.9142,7.8014
19750829,0.7997,0.6949,0.4975,0.354,7.3436,8.0168,8.0942,8.0398,7.9806
19750930,0.3336,-0.2359,-0.8794,-1.4301,7.5426,8.3536,8.42,8.327,8.2343
19751031,1.4413,1.7024,1.528,1.1962,6.3438,7.5092,7.8925,7.9665,7.9785
19751128,0.8064,0.48,-0.1973,-0.9875,6.5853,7.6979,8.0266,8.117,8.1387
19751231,1.0304,0.9378,0.4121,-0.2718,6.1325,7.2563,7.6892,7.8476,7.9029
19760130,1.5384,1.6877,1.2669,0.7234,5.5627,7.2431,7.854,7.9814,8.0043
19760227,0.5456,0.3911,0.1182,-0.1591,6.0952,7.3804,7.6918,7.7474,7.7562
19760331,1.2463,1.5847,1.5979,1.5052,6.0262,7.2368,7.6038,7.7148,7.7484
19760430,2.0436,2.9734,3.5123,3.9213,5.9891,7.1749,7.5672,7.6972,7.7401
19760528,0.7565,0.8897,0.9308,0.9798,6.6995,7.7027,7.8692,7.8746,7.862
19760630,1.1158,1.5094,1.6219,1.6014,6.3932,7.3728,7.7089,7.8239,7.8632
19760730,1.8444,2.6451,2.8949,2.8547,6.1161,7.2219,7.6644,7.8416,7.9125
19760831,2.0893,3.2256,3.8084,4.0902,5.9275,6.9579,7.457,7.6988,7.8158
19760930,2.548,4.2716,5.3726,6.0657,5.8056,6.6964,7.226,7.5412,7.7283
19761029,1.9665,3.4173,4.3755,4.9883,5.5427,6.4417,7.0083,7.3657,7.5901
19761130,2.6799,4.9923,6.8261,8.2166,5.018,5.7142,6.2832,6.7482,7.1279
19761231,2.325,4.2241,5.67,6.7772,4.9313,5.7901,6.4017,6.7957,7.0347
19770131,1.5877,2.7599,3.5755,4.186,5.6554,6.6818,7.1658,7.3938,7.5017
19770228,1.8499,2.8842,3.4156,3.6794,5.5305,6.6575,7.216,7.4924,7.6296
19770331,1.8093,2.8532,3.3785,3.6114,5.4275,6.5599,7.1895,7.5155,7.6776
19770429,1.6679,2.6433,3.1649,3.4158,5.507,6.5918,7.1756,7.4892,7.6584
19770531,1.9523,3.3245,4.2036,4.7369,5.7504,6.497,6.9955,7.3287,7.5509
19770630,1.7463,3.1179,4.1181,4.8252,5.6265,6.3373,6.8237,7.1561,7.3839
19770729,1.133,2.0605,2.7779,3.3344,6.0889,6.7369,7.1242,7.356,7.494
19770831,0.7388,1.4959,2.1862,2.7959,6.2191,6.6999,7.0085,7.2061,7.3334
19770930,0.1837,0.5328,0.958,1.4135,6.5127,6.8769,7.116,7.2728,7.3756
19771031,-0.3941,-0.6296,-0.682,-0.5842,6.8358,7.2438,7.4181,7.4923,7.5245
19771130,-1.0444,-1.8894,-2.4737,-2.7913,6.7586,7.1282,7.3325,7.4455,7.5077
19771230,-1.0972,-2.017,-2.7973,-3.4882,6.8873,7.3215,7.576,7.7256,7.8131
19780131,-0.4384,-0.7844,-1.1305,-1.5013,7.1202,7.5118,7.7399,7.8725,7.9501
19780228,-0.5027,-0.9369,-1.324,-1.6813,7.1602,7.6502,7.8795,7.9869,8.0372
19780331,-0.6976,-1.3032,-1.7673,-2.1327,7.2575,7.7951,7.9796,8.043,8.0648
19780428,-0.8196,-1.6216,-2.2055,-2.6362,7.4114,7.9776,8.0731,8.0891,8.0923
19780531,-1.2851,-2.4663,-3.3264,-3.9647,7.7821,8.1767,8.1888,8.1892,8.1892
19780630,-1.84,-3.4538,-4.7053,-5.7218,8.1773,8.4375,8.4076,8.4004,8.3987
19780731,-1.4174,-2.6537,-3.6253,-4.4561,8.1543,8.3605,8.3276,8.3248,8.3248
19780831,-1.5228,-2.7708,-3.753,-4.5897,8.2227,8.2565,8.1883,8.1701,8.1664
19780929,-1.7431,-2.8709,-3.8038,-4.6331,8.62,8.2438,8.2057,8.2049,8.2046
19781031,-2.2291,-3.6921,-4.8062,-5.8525,9.4729,8.8811,8.6064,8.5708,8.5678
19781130,-2.5966,-4.0305,-4.972,-5.7873,9.7248,8.7664,8.387,8.323,8.3148
19781229,-2.9566,-4.6347,-5.6024,-6.3474,10.2781,9.2541,8.6933,8.5581,8.5314
19790131,-2.3115,-3.3949,-3.9544,-4.3805,9.8233,8.8233,8.432,8.3762,8.3692
19790228,-2.2708,-3.4395,-4.1698,-4.7998,9.921,9.0482,8.7172,8.6672,8.6614
19790330,-1.8925,-2.9597,-3.6533,-4.2375,9.6876,9.0468,8.7366,8.649,8.628
19790430,-1.842,-2.9557,-3.7599,-4.4891,9.8196,9.1868,8.8933,8.8215,8.8068
19790531,-1.3771,-1.9765,-2.406,-2.8165,9.5538,8.7882,8.6187,8.5997,8.5976
19790629,-0.4902,-0.5053,-0.5239,-0.5442,8.9277,8.4227,8.419,8.419,8.4191
19790731,-1.0249,-1.3179,-1.586,-1.8539,9.3854,8.6206,8.5929,8.5927,8.5929
19790831,-1.7909,-2.5314,-3.1117,-3.6819,10.0474,8.9288,8.7504,8.7366,8.7358
19790928,-2.2748,-3.1425,-3.845,-4.541,10.5186,9.0734,8.9074,8.9006,8.9005
19791031,-3.4864,-5.8169,-7.5336,-8.9667,12.3675,10.9369,10.2875,10.0009,9.8807
19791130,-2.5098,-4.1244,-5.3858,-6.6016,11.2762,10.0016,9.5844,9.5306,9.6102
19791231,-2.2055,-3.5268,-4.456,-5.3247,11.4596,10.0146,9.4873,9.4001,9.5019
19800131,-2.9444,-5.1225,-6.9521,-8.7697,11.7677,10.6101,10.2058,10.1868,10.3451
19800229,-5.4615,-10.1062,-13.2697,-15.8312,14.5097,13.3619,11.8307,11.2229,11.1818
19800331,-6.0601,-10.1726,-12.8142,-14.8196,15.1069,12.8491,11.2906,10.6334,10.609
19800430,-1.4684,-2.3445,-3.3438,-4.6624,10.6552,9.7694,9.8208,10.1254,10.4352
19800530,0.0826,-0.5233,-1.306,-2.393,8.7056,9.2246,9.3824,9.6846,10.0658
19800630,-0.1025,-0.8993,-2.0273,-3.299,8.5252,9.2158,9.547,9.6908,9.7627
19800731,-0.4554,-1.7963,-3.4123,-5.0825,9.076,9.9338,10.2087,10.2631,10.2904
19800829,-2.139,-4.8218,-7.471,-9.9012,11.0678,11.4332,11.3858,11.166,10.9207
19800930,-2.7618,-5.5528,-7.9864,-10.1861,11.8352,11.6984,11.3342,11.1002,11.0595
19801031,-2.0281,-3.8788,-5.8079,-7.832,12.965,12.1382,11.93,11.9048,11.9025
19801128,-4.0739,-6.938,-9.4193,-11.6144,14.0755,12.4485,12.0119,11.8053,11.7158
19801231,-3.0422,-5.0739,-7.4517,-9.7953,13.0568,11.519,11.7779,11.8455,11.7918
19810130,-2.9278,-4.4321,-6.0515,-7.5846,13.5379,11.7101,11.8062,11.8782,11.8981
19810227,-0.3039,-1.1664,-2.6751,-4.2255,13.6658,12.6932,12.7316,12.7322,12.7322
19810331,0.2653,-1.3107,-3.5474,-5.8087,12.5838,12.8666,12.8701,12.8703,12.8697
19810430,-4.6021,-8.4568,-11.8254,-14.7124,14.3715,13.6755,13.494,13.3222,13.2053
19810529,-5.2582,-9.1808,-12.287,-14.6882,14.4828,13.305,12.7908,12.467,12.3559
19810630,-4.9294,-8.9432,-12.4121,-15.5573,14.1452,13.5608,13.1597,12.9079,12.8224
19810731,-5.535,-9.8307,-13.6197,-17.0036,15.4688,14.5044,14.0521,13.6743,13.3889
19810831,-4.6768,-8.5746,-11.9576,-15.2355,16.11,15.2836,14.549,14.1986,14.0753
19810930,-3.9933,-8.5304,-12.591,-16.2069,15.6917,15.8713,15.1608,14.6754,14.4888
19811030,-1.9151,-4.0034,-6.1893,-8.4561,14.0533,14.0183,14.0907,14.1693,14.2184
19811130,1.091,0.665,-0.1735,-1.0497,11.3575,12.4379,12.6438,12.592,12.5243
19811231,-1.7386,-3.5931,-5.2184,-6.9166,13.2576,13.6324,13.4708,13.49,13.5252
19820129,-2.012,-3.9883,-5.7247,-7.3742,13.7221,13.7825,13.6146,13.5476,13.5592
19820226,-0.9177,-2.0006,-2.7615,-3.2188,13.6109,13.8145,13.4931,13.1895,13.0505
19820331,-0.9813,-1.9521,-2.8194,-3.5365,13.8479,13.8409,13.7376,13.5868,13.4243
19820430,0.3451,0.3139,0.3148,0.4186,13.3304,13.5252,13.3213,13.1015,12.9476
19820528,0.5676,-0.0102,-0.7798,-1.5437,12.7374,13.3686,13.2366,13.1198,13.0671
19820630,-0.4477,-1.5345,-2.5966,-3.4604,14.0085,14.2465,13.97,13.6862,13.4933
