Company,Founder,Undergraduate,Graduate Degree,CS,Dropout,MBA
2U,John Katzman,Architecture,-,,,
2U,Chip Paucek,Political Communication,MBA,,,1
2U,Jeremy Johnson,Political Economy,-,,,
AirBnB,Brian Chesky,Design,-,,,
AirBnB,Nathan Blecharczyk,Computer Science,-,1,,
AirBnB,Joe Gebbia,Design,-,,,
Box.net,Aaron Levie,Business (dropout),-,,1,
Box.net,Dylan Smith,Economics,-,,,
Dropbox,Drew Houston,Computer Science,-,1,,
Dropbox,Arash Ferdowsi,Computre Science (dropout),-,1,1,
EventBrite,Kevin Hartz,History,History,,,
EventBrite,Julia Hartz,Telecommunications,-,,,
EventBrite,Renauld Visage,Environmental Engineering,Environmental Engineering,,,
Evernote,Phil Libin,Computer Science,-,1,,
Evernote,Stepan Pachikov,Computer Science,Computer Science,1,,
Fab,Jason Goldberg,?,MBA,,,1
Fab,Bradford Shellhammer,Design,,,,
Facebook,Mark Zuckerberg,Computer Science (dropout),-,1,1,
Facebook,Andrew McCollum,Computer Science,-,1,,
Facebook,Dustin Moskovitz,Economics (dropout),-,,1,
Facebook,Chris Hughes,History and Literature,-,,,
Facebook,Eduardo Saverin,Economics,-,,,
FireEye,Ashar Aziz,Electrical Engineering,Computer Science,1,,
Google,Larry Page,Computer Science,Computer Science (dropout),1,1,
Google,Sergey Brin,Computer Science,Computer Science (dropout),1,1,
Heroku,James Lindenbaum,Finance,-,,,
Heroku,Adam Wiggins,Computer Science,-,1,,
Heroku,Orion Henry,Computer Science,-,1,,
Instagram,Kevin Systrom,Management Science & Engineering,-,,,
Instagram,Mike Krieger,Symbolic Systems,-,1,,
LinkedIn,Reid Hoffman,Symbolic Systems,Philosophy,1,,
LinkedIn,Allen Blue,Drama & English,-,,,
LinkedIn,Konstantin Guericke,Engineering,-,1,,
LinkedIn,Eric Ly,Symbolic Systems,-,1,,
LinkedIn,Jean-Luc Vaillant,Computer Science,Network Engineering,1,,
Marketo,Phil Fernandez,History,-,,,
Meraki,Sanjit Biswas,Computer Engineering,Electrical Engineering,1,,
Meraki,John Bicket,Computer Science,Computer Science,1,,
Meraki,Hans Robertson,Computer Science,Computer Science,1,,
New Relic,Lew Cirne,Computer Science,-,1,,
One King's Lane,Ali Pincus,Conservation Studies,MBA,,,1
One King's Lane,Susan Feldman,Pysychology,MBA,,,1
Palantir,Alex Karp,Law,Social Theory,,,
Palantir,Stephen Cohen,Computer Science,-,1,,
Palantir,Joe Lonsdale,Computer Science,-,1,,
Palantir,Peter Thiel,Philosophy,Law,,,
Pinterest,Ben Silbermann,Political Science,,,,
Pinterest,Paul Sciarra,Philosophy,,,,
Pinterest,Evan Sharp,History,Architecture,,,
Pure Storage,John Colgrove,Computer Science,,1,,
Pure Storage,John Hayes,Computer Science,,1,,
Rocket Fuel,George John,Computer Science,Computer Science,1,,
Spotify,Daniel Ek,Computer Science (dropout),,1,,
Spotify,Martin Lorentzon,Industrial Engineering,MBA,,,1
Square,Jack Dorsey,Computer Science? (dropout),-,1,1,
Square,Jim McKelvey,Economics and Computer Science,-,1,,
Square,Tristan O'Tierney,Computer Science,-,1,,
Twitter,Evan Willams,Marketing? (dropout),-,,1,
Twitter,Biz Stone,English & Theater (dropout),-,,1,
Twitter,Jack Dorsey,Computer Science? (dropout),-,1,1,
Twitter,Noah Glass,? (dropout),-,,1,
Tumblr,David Karp,-,-,,,
Twilio,Jeff Lawson,Computer Science,-,1,,
Twilio,Jeff Lawson,Computer Science,Computer Science,1,,
Uber,Garrett Camp,Electrical Engineering,Software Engineering,1,,
Uber,Travis Kalanick,Computer Science,-,1,,
Workday,Aneel Bushri,Electrical Engineering,MBA,1,,1
Workday,David Duffield,Electrical Engineering,MBA,1,,1
Yammer,David Sacks,Economics,Law,,,
Yammer,Adam Pisoni,? (dropout),?,,1,
Zendesk,Mikkel Svane,Economics,,,,
Zendesk,Alexander Aghassipour,Information Technology,,1,,
Zendesk,Morten Primdahl,Computer Science,Computer Science,1,,
,,,,39,12,7
